,accession,Gardiner_captivity_flag,Gardiner_domestication_flag,Gardiner_flag_notes,Sudmant_zoo_flag,Combined_captivity_flag,Animal,Assembly,Band,Bird,CBP,Cells,Collection,Columbia,Common,Culture,ENA,ENA.CHECKLIST,ENA.FIRST.PUBLIC,ENA.LAST.UPDATE,External,Father,Field,Funding,GAL,GAL_sample_id,GN,Genome,INSDC,ISIS,Identified,Individual,Loan,Local,Marine,Material,McGill,Mobilization,Moreton,Mother,Necropsy,Note,Oregon,Panamanian,Permit,Permits,Previous,Report,Sample,Scientific,Sex,Smithsonian,Source,Species360,Stanford,State,Studbook,Subject,Submission,Submitter,ToLID,Tube,Turtle,UF,UQ,USNM,Vassar,Weight,Wieght,age,altitude,barcoding,bio.material,biomaterial,biomaterial_provider,bioproject_accession2,birth_date,birth_location,breed,breed_note,breeding_history,breeding_method,broker,cell_line,cell_type,collected,collected.by,collected_by,collecting,collection,collection.date,collection_date,common,country,cultivar,culture_or_strain_id,date,death_date,depth,derived.from,dev_stage,developmental_age,ecotype,elevation,env_broad_scale,env_local_scale,env_medium,estimated_size,family,funding,geo_loc_name,geographic,growth_protocol,habitat,health_state,identified,identified_by,identifier_affiliation,isol_growth_condt,isolate,isolate_name_alias,isolation.source,isolation_source,label,lat.lon,lat_lon,latitude,lifestage,material,note,order,organism,orgmod_note,original,permit,permits,phenotype,project,provider,proxy,ref_biomaterial,relationship,sample,sample_type,scientific_name,sex,specimen,specimen_id,specimen_voucher,storage,store_cond,strain,sub,sub_species,subject,subject_id,submission,symbiont,tissue,tolid,treatment,voucher,yggdrasil,yggdrasil_individual_id
1,GCA_003957525.2,yes,yes,NCBI Website,NA,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""Black17""",,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""male""",,,,,,,,,,,,,,,,,,
13,GCA_009764505.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""10 years""",,,,,"Attribute ""Copenhagen Zoo, Denmark""",,"Attribute ""Aug-1998""",,,,,,,,,,,"Attribute ""Mads Bertelsen""",,,,"Attribute ""2008""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Denmark: Copenhagen Zoo""",,,,,,,,,"Attribute ""bTauEry1""",,,,,,"Attribute ""55.67278 N 12.52139 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""h1111 alu""",,,,"Attribute ""blood""",,,,,
16,GCA_009769465.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""10 years""",,,,,"Attribute ""Copenhagen Zoo, Denmark""",,"Attribute ""Aug-1998""",,,,,,,,,,,"Attribute ""Mads Bertelsen""",,,,"Attribute ""2008""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Denmark: Copenhagen Zoo""",,,,,,,,,"Attribute ""bTauEry1""",,,,,,"Attribute ""55.67278 N 12.52139 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""h1111 alu""",,,,"Attribute ""blood""",,,,,
21,GCA_009769595.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""6 years""",,,,,"Attribute ""Copenhagen Zoo, Denmark""",,"Attribute ""29-May-2002""",,,,,,,,,,,"Attribute ""Mads Bertelsen""",,,,"Attribute ""2008-10-30""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Denmark: Copenhagen Zoo""",,,,,,,,,"Attribute ""bBucAby1""",,,,,,"Attribute ""55.67278 N 12.52139 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""690178""",,,,"Attribute ""blood""",,"Attribute ""EtOH transfer""",,,
22,GCA_009769605.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""6 years""",,,,,"Attribute ""Copenhagen Zoo, Denmark""",,"Attribute ""29-May-2002""",,,,,,,,,,,"Attribute ""Mads Bertelsen""",,,,"Attribute ""2008-10-30""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Denmark: Copenhagen Zoo""",,,,,,,,,"Attribute ""bBucAby1""",,,,,,"Attribute ""55.67278 N 12.52139 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""690178""",,,,"Attribute ""blood""",,"Attribute ""EtOH transfer""",,,
24,GCA_009819485.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""7 years""",,,,,"Attribute ""Copenhagen Zoo, Denmark""",,"Attribute ""29-Sep-2001""","Attribute ""Holland""",,,,,,,,,,"Attribute ""Mads Bertelsen""",,,,"Attribute ""2008-06-29""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Denmark: Copenhagen Zoo""",,,,,,,,,"Attribute ""bCarCri1""",,,,,,"Attribute ""55.67278 N 12.52139 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""leg band: green/295952""",,,,"Attribute ""blood""",,,,,
27,GCA_009819585.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""3 years""",,,,,"Attribute ""Copenhagen Zoo, Denmark""",,,,,,,,,,,,,"Attribute ""Mads Bertelsen""",,,,"Attribute ""2011-08-04""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Denmark: Copenhagen Zoo""",,,,,,,,,"Attribute ""bMerNub1""",,,,,,"Attribute ""55.67278 N 12.52139 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""137942""",,,,"Attribute ""blood""",,,,,
28,GCA_009819595.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""3 years""",,,,,"Attribute ""Copenhagen Zoo, Denmark""",,,,,,,,,,,,,"Attribute ""Mads Bertelsen""",,,,"Attribute ""2011-08-04""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Denmark: Copenhagen Zoo""",,,,,,,,,"Attribute ""bMerNub1""",,,,,,"Attribute ""55.67278 N 12.52139 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,,"ID	Attribute ""137942""",,,,"Attribute ""blood""",,,,,
33,GCA_009819775.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""3 years""",,,,,"Attribute ""Copenhagen Zoo, Denmark""",,"Attribute ""2005""","Attribute ""Copenhagen Zoo""",,,,,,,,,,"Attribute ""Mads Bertelsen""",,,,"Attribute ""2008""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Denmark: Copenhagen Zoo""",,,,,,,,,"Attribute ""bPhoRub2""",,,,,,"Attribute ""55.67278 N 12.52139 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,"Attribute ""ruber""","ID	Attribute ""GZG chip leg band""",,,,"Attribute ""blood""",,"Attribute ""frozen""",,,
34,GCA_009819805.1,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Attribute ""3 years""",,,,,"Attribute ""Copenhagen Zoo, Denmark""",,"Attribute ""2005""","Attribute ""Copenhagen Zoo""",,,,,,,,,,"Attribute ""Mads Bertelsen""",,,,"Attribute ""2008""",,,,,,,,,"Attribute ""adult""",,,,,,,,,,"Attribute ""Denmark: Copenhagen Zoo""",,,,,,,,,"Attribute ""bPhoRub2""",,,,,,"Attribute ""55.67278 N 12.52139 E""",,,,,,,,,,,,,,,,,,,,"Attribute ""female""",,,,,"Attribute ""frozen""",,,"Attribute ""ruber""","ID	Attribute ""GZG chip leg band""",,,,"Attribute ""blood""",,"Attribute ""frozen""",,,
