"","Generations_end","IUCN","Ne_median","Ne_min","Ne_max","Ne_lq","Ne_uq"
"1",0,"CR",17254.0373143955,1059.94239213099,9693632.73733648,4881.50311421133,103783.294604912
"2",0,"EN",22295.9226331485,1171.11103303704,480269.335043092,7665.69245549058,60827.159117907
"3",0,"VU",44056.6970770542,1713.20150247772,3396681.44223094,13746.188378368,139032.791642606
"4",0,"NT",67554.3329946751,10036.7092641336,16910244.6489645,37288.6767376105,130535.790769695
"5",0,"LC",59242.6638727627,1671.17884956048,456814472.796127,24532.4702694257,206224.398549594
"6",214.9048,"LC",6328312.87178838,6328312.87178838,6328312.87178838,6328312.87178838,6328312.87178838
"7",304.5872,"EN",1201.29138824236,1201.29138824236,1201.29138824236,1201.29138824236,1201.29138824236
"8",329.1056,"CR",9693632.73733648,9693632.73733648,9693632.73733648,9693632.73733648,9693632.73733648
"9",352.364,"EN",12426.2965287141,12426.2965287141,12426.2965287141,12426.2965287141,12426.2965287141
"10",437.924,"LC",12897775.4561782,12897775.4561782,12897775.4561782,12897775.4561782,12897775.4561782
"11",443.0208,"LC",22730.5014916892,22730.5014916892,22730.5014916892,22730.5014916892,22730.5014916892
"12",447.2248,"LC",213119.64536891,213119.64536891,213119.64536891,213119.64536891,213119.64536891
"13",450.1104,"LC",2557659.23027245,2557659.23027245,2557659.23027245,2557659.23027245,2557659.23027245
"14",459.536,"EN",25238.9816070922,25238.9816070922,25238.9816070922,25238.9816070922,25238.9816070922
"15",466.2888,"LC",825131.866386397,825131.866386397,825131.866386397,825131.866386397,825131.866386397
"16",479.4864,"VU",3396681.44223094,3396681.44223094,3396681.44223094,3396681.44223094,3396681.44223094
"17",488.904,"CR",3183.24340670709,3183.24340670709,3183.24340670709,3183.24340670709,3183.24340670709
"18",513.312,"LC",12156909.227398,12156909.227398,12156909.227398,12156909.227398,12156909.227398
"19",524.6472,"VU",11237.8175034627,11237.8175034627,11237.8175034627,11237.8175034627,11237.8175034627
"20",532.536,"CR",15956.6617068043,15956.6617068043,15956.6617068043,15956.6617068043,15956.6617068043
"21",546.5952,"VU",1268950.98994039,1268950.98994039,1268950.98994039,1268950.98994039,1268950.98994039
"22",553.3824,"LC",1671.17884956048,1671.17884956048,1671.17884956048,1671.17884956048,1671.17884956048
"23",570.2568,"NT",20660.9435852935,20660.9435852935,20660.9435852935,20660.9435852935,20660.9435852935
"24",573.1648,"VU",162387.74946818,162387.74946818,162387.74946818,162387.74946818,162387.74946818
"25",574.528,"NT",16910244.6489645,16910244.6489645,16910244.6489645,16910244.6489645,16910244.6489645
"26",577.6824,"LC",2611.20467927879,2611.20467927879,2611.20467927879,2611.20467927879,2611.20467927879
"27",600.224,"LC",185564.045110619,185564.045110619,185564.045110619,185564.045110619,185564.045110619
"28",604.0872,"LC",17793436.0014591,17793436.0014591,17793436.0014591,17793436.0014591,17793436.0014591
"29",616.256,"LC",58293.232447179,58293.232447179,58293.232447179,58293.232447179,58293.232447179
"30",627.0416,"LC",29812.4795039203,29812.4795039203,29812.4795039203,29812.4795039203,29812.4795039203
"31",630.692,"LC",16665.0695974969,16665.0695974969,16665.0695974969,16665.0695974969,16665.0695974969
"32",638.8408,"LC",103224.208141293,103224.208141293,103224.208141293,103224.208141293,103224.208141293
"33",655.4368,"LC",7558707.53659832,7558707.53659832,7558707.53659832,7558707.53659832,7558707.53659832
"34",660.8776,"EN",1063.25291597112,1063.25291597112,1063.25291597112,1063.25291597112,1063.25291597112
"35",667.0016,"LC",48668.9054363167,48668.9054363167,48668.9054363167,48668.9054363167,48668.9054363167
"36",675.7832,"EN",4943.56915806074,4943.56915806074,4943.56915806074,4943.56915806074,4943.56915806074
"37",691.6392,"LC",2968.59229353441,2968.59229353441,2968.59229353441,2968.59229353441,2968.59229353441
"38",693.0088,"LC",9756.00238046458,9756.00238046458,9756.00238046458,9756.00238046458,9756.00238046458
"39",704.2112,"LC",36648.1593461968,36648.1593461968,36648.1593461968,36648.1593461968,36648.1593461968
"40",714.076,"CR",38052.8363632904,38052.8363632904,38052.8363632904,38052.8363632904,38052.8363632904
"41",721.6296,"EN",6797.06842438856,6797.06842438856,6797.06842438856,6797.06842438856,6797.06842438856
"42",731.3728,"CR",89358.1182967449,89358.1182967449,89358.1182967449,89358.1182967449,89358.1182967449
"43",754.3752,"LC",91763.9555770691,91763.9555770691,91763.9555770691,91763.9555770691,91763.9555770691
"44",760.3464,"LC",7101.7431228495,7101.7431228495,7101.7431228495,7101.7431228495,7101.7431228495
"45",762.4536,"LC",42508.3316330001,42508.3316330001,42508.3316330001,42508.3316330001,42508.3316330001
"46",764.5424,"EN",4228.61141915371,4228.61141915371,4228.61141915371,4228.61141915371,4228.61141915371
"47",768.8088,"LC",309774.948499915,309774.948499915,309774.948499915,309774.948499915,309774.948499915
"48",777.0264,"EN",4852.57866030008,4852.57866030008,4852.57866030008,4852.57866030008,4852.57866030008
"49",784.7056,"LC",51131.4756416041,51131.4756416041,51131.4756416041,51131.4756416041,51131.4756416041
"50",809.584,"LC",23842591.212813,23842591.212813,23842591.212813,23842591.212813,23842591.212813
"51",816.888,"CR",1059.94239213099,1059.94239213099,1059.94239213099,1059.94239213099,1059.94239213099
"52",817.568,"VU",172686.966019522,172686.966019522,172686.966019522,172686.966019522,172686.966019522
"53",818.048,"LC",24095514.6199535,24095514.6199535,24095514.6199535,24095514.6199535,24095514.6199535
"54",818.872,"NT",11662.3515965759,11662.3515965759,11662.3515965759,11662.3515965759,11662.3515965759
"55",835.872,"NT",15164726.8453577,15164726.8453577,15164726.8453577,15164726.8453577,15164726.8453577
"56",840.312,"VU",12081.4896476736,12081.4896476736,12081.4896476736,12081.4896476736,12081.4896476736
"57",848.216,"EN",1171.11103303704,1171.11103303704,1171.11103303704,1171.11103303704,1171.11103303704
"58",871.664,"LC",8667.97119633171,8667.97119633171,8667.97119633171,8667.97119633171,8667.97119633171
"59",872.488,"NT",60722.4452928719,60722.4452928719,60722.4452928719,60722.4452928719,60722.4452928719
"60",879.368,"LC",16791.9767934881,16791.9767934881,16791.9767934881,16791.9767934881,16791.9767934881
"61",898.392,"LC",1890.95791200427,1890.95791200427,1890.95791200427,1890.95791200427,1890.95791200427
"62",904.832,"LC",1584578.87835584,1584578.87835584,1584578.87835584,1584578.87835584,1584578.87835584
"63",905.544,"LC",13115.0550996252,13115.0550996252,13115.0550996252,13115.0550996252,13115.0550996252
"64",922.648,"LC",61441.6672810833,61441.6672810833,61441.6672810833,61441.6672810833,61441.6672810833
"65",925.416,"EN",5447.57256166652,5447.57256166652,5447.57256166652,5447.57256166652,5447.57256166652
"66",926.672,"LC",323904.998663892,323904.998663892,323904.998663892,323904.998663892,323904.998663892
