"","IUCN","Generations","median_Ne","lq_Ne","uq_Ne"
"1","CR",214.9048,17254.0373143955,4881.50311421133,103783.294604912
"2","CR",229.025614989217,17254.0373143955,4881.50311421133,103783.294604912
"3","CR",244.074270659329,17254.0373143955,4881.50311421133,103783.294604912
"4","CR",260.111732919867,17254.0373143955,4881.50311421133,103783.294604912
"5","CR",277.202973585901,17254.0373143955,4881.50311421133,103783.294604912
"6","CR",295.417233595298,17254.0373143955,4881.50311421133,103783.294604912
"7","CR",314.828303521262,17254.0373143955,4881.50311421133,103783.294604912
"8","CR",335.514822516616,17254.0373143955,4881.50311421133,103783.294604912
"9","CR",357.560596900888,17254.0373143955,4881.50311421133,103783.294604912
"10","CR",381.054939680906,17254.0373143955,4881.50311421133,103783.294604912
"11","CR",406.093032380377,17254.0373143955,4881.50311421133,103783.294604912
"12","CR",432.776310644303,17254.0373143955,4881.50311421133,103783.294604912
"13","CR",461.212875180433,17254.0373143955,4881.50311421133,103783.294604912
"14","CR",491.517929702564,17254.0373143955,4881.50311421133,103783.294604912
"15","CR",523.814247649919,17254.0373143955,4881.50311421133,103783.294604912
"16","CR",558.232669573395,17254.0373143955,4881.50311421133,103783.294604912
"17","CR",594.912633203721,17254.0373143955,4881.50311421133,103783.294604912
"18","CR",634.002738348965,17254.0373143955,4881.50311421133,103783.294604912
"19","CR",675.661348909932,17254.0373143955,4881.50311421133,103783.294604912
"20","CR",720.057234452377,17254.0373143955,4881.50311421133,103783.294604912
"21","CR",767.370253935185,17254.0373143955,4881.50311421133,103783.294604912
"22","CR",817.792084364506,17254.0373143955,4881.50311421133,103783.294604912
"23","CR",871.526997325767,16998.4718352241,4881.50311421133,103783.294604912
"24","CR",928.792686539524,16466.7298475775,4881.50311421133,103783.294604912
"25","CR",989.821149793776,16360.7446316365,4881.50311421133,70664.8945917767
"26","CR",1054.85962882566,16360.7446316365,4881.50311421133,70664.8945917767
"27","CR",1124.17161096027,16360.7446316365,4881.50311421133,70664.8945917767
"28","CR",1198.03789656441,16360.7446316365,4881.50311421133,69821.9620183174
"29","CR",1276.7577366399,16279.7260153032,4881.50311421133,68116.3179699146
"30","CR",1360.65004516509,13835.9976485476,4881.50311421133,66298.6006497888
"31","CR",1450.05469109596,13308.0652376994,4672.99362717865,64216.6980293621
"32","CR",1545.33387526128,13308.0652376994,4316.31452890925,58023.3785338294
"33","CR",1646.87359772972,13308.0652376994,4413.90149338923,51423.1127124559
"34","CR",1755.08522159371,13308.0652376994,4517.90063419465,44389.1612193652
"35","CR",1870.40713950543,13308.0652376994,4712.23508768367,38048.2230293829
"36","CR",1993.30654971621,13308.0652376994,5156.02071655193,38048.2230293829
"37","CR",2124.28134881487,11786.9594318944,5318.08290439881,38048.2230293829
"38","CR",2263.86214883264,11786.9594318944,5149.97655903841,38048.2230293829
"39","CR",2412.61442688672,11786.9594318944,4970.82439896681,38048.2230293829
"40","CR",2571.14081607106,11786.9594318944,4863.8029508311,38048.2230293829
"41","CR",2740.08354687541,11786.9594318944,5205.1983293121,38048.2230293829
"42","CR",2920.12704902345,11786.9594318944,6035.02357414621,38048.2230293829
"43","CR",3112.00072427067,11786.9594318944,6919.37439847266,38048.2230293829
"44","CR",3316.48190139531,11780.9557611225,7444.21883400001,38048.2230293829
"45","CR",3534.39898535382,11592.7081366974,7820.75588134578,38048.2230293829
"46","CR",3766.63481335886,12181.5965359945,8419.01631155597,38048.2230293829
"47","CR",4014.13023147602,12964.2199232525,9070.85826086934,38048.2230293829
"48","CR",4277.88790622919,14071.1445576458,9315.97879056263,38048.2230293829
"49","CR",4558.9763866562,14374.892776796,9140.70773836983,43192.4618727104
"50","CR",4858.53443327116,15853.557846319,9120.2142503589,50516.3055831131
"51","CR",5177.7756314713,17796.46551612,9330.7665832504,58321.379317436
"52","CR",5517.99330807825,18846.6386593082,9323.7721125026,65168.9811499944
"53","CR",5880.56577093208,21803.6194900574,9258.87362765947,68123.8053002649
"54","CR",6266.96189276488,24006.7647366659,9462.75307257899,72671.5133701819
"55","CR",6678.74706197565,26267.5338553018,10478.0406450749,73503.4254287925
"56","CR",7117.58952441452,28099.5296925621,10354.9383808779,73195.0806335038
"57","CR",7585.2671418686,30265.262091187,10221.452429775,85514.8881133254
"58","CR",8083.6745946296,32834.0639616849,10079.7059227705,91744.218084197
"59","CR",8614.83105732282,33759.9201429381,9955.91409754666,88490.5350514643
"60","CR",9180.88837909421,35329.5336265518,9941.16659965707,81200.4214271182
"61","CR",9784.13980129529,37121.8905470792,10879.3981495153,75315.3530484453
"62","CR",10427.0292479839,38044.8189816063,10752.8493050503,72067.1722982275
"63","CR",11112.1612268784,38555.2850346347,10443.5410286811,76339.9600440304
"64","CR",11842.3113808773,39099.2924357069,10468.560787775,83923.2584123828
"65","CR",12620.4377328902,38185.6602448355,10792.1350481003,88932.0639387276
"66","CR",13449.6926695369,36011.5401076095,11201.1352052885,91171.6694128198
"67","CR",14333.4357122626,36109.2069958907,11637.0096600737,89906.6541377658
"68","CR",15275.2471276088,36993.4133170247,12029.2774676436,86396.4355277219
"69","CR",16278.9424317785,37935.7184515544,12327.5357157937,82655.5699169403
"70","CR",17348.5878482572,38998.0586573701,12645.3917092763,77684.0521800614
"71","CR",18488.5167811122,39818.6820238342,12927.2033299052,75937.3179618701
"72","CR",19703.3473707086,39977.6518012295,13089.1949648283,77142.1806230672
"73","CR",20998.0012029639,39851.9687092434,13294.7628690749,78426.211561223
"74","CR",22377.7232479364,38988.2596513334,13762.8470137826,79770.1816990606
"75","CR",23848.1031085258,38644.5082040242,14273.6069090702,80149.5561639077
"76","CR",25415.097665368,38367.4680259229,15123.3347841128,79820.7168190021
