"","IUCN","Generations","median_Ne","lq_Ne","uq_Ne"
"1","CR",214.9048,18551.4129219867,8053.77071208348,118208.470913078
"2","CR",227.010201896001,18551.4129219867,8053.77071208348,118208.470913078
"3","CR",239.797490632425,18551.4129219867,8053.77071208348,118208.470913078
"4","CR",253.305076306444,18551.4129219867,8053.77071208348,118208.470913078
"5","CR",267.573532622853,18551.4129219867,8053.77071208348,118208.470913078
"6","CR",282.645718768218,18551.4129219867,8053.77071208348,118208.470913078
"7","CR",298.56690815009,18551.4129219867,8053.77071208348,118208.470913078
"8","CR",315.384924387993,18551.4129219867,8053.77071208348,118208.470913078
"9","CR",333.15028496466,18551.4129219867,8053.77071208348,118208.470913078
"10","CR",351.916352969025,18551.4129219867,8053.77071208348,118208.470913078
"11","CR",371.739497386762,18551.4129219867,8053.77071208348,118208.470913078
"12","CR",392.679262419857,18551.4129219867,8053.77071208348,118208.470913078
"13","CR",414.798546343797,18551.4129219867,8053.77071208348,118208.470913078
"14","CR",438.163790439641,18551.4129219867,8053.77071208348,118208.470913078
"15","CR",462.845178568463,18551.4129219867,8053.77071208348,118208.470913078
"16","CR",488.916847987656,18551.4129219867,8053.77071208348,118208.470913078
"17","CR",516.457112042328,18551.4129219867,8053.77071208348,118208.470913078
"18","CR",545.548695400728,18551.4129219867,8053.77071208348,118208.470913078
"19","CR",576.278982540265,18551.4129219867,8053.77071208348,118208.470913078
"20","CR",608.740280230538,18551.4129219867,8053.77071208348,118208.470913078
"21","CR",643.030094801803,18551.4129219867,8053.77071208348,118208.470913078
"22","CR",679.251425031744,18551.4129219867,8053.77071208348,118208.470913078
"23","CR",717.513071530289,18551.4129219867,8053.77071208348,118208.470913078
"24","CR",757.929963551818,18551.4129219867,8053.77071208348,118208.470913078
"25","CR",800.62350421641,18551.4129219867,8053.77071208348,118208.470913078
"26","CR",845.721935177116,18551.4129219867,8053.77071208348,118208.470913078
"27","CR",893.360721828612,18551.4129219867,8053.77071208348,118208.470913078
"28","CR",943.682960214339,18551.4129219867,8053.77071208348,76895.9691600994
"29","CR",996.839806854351,18551.4129219867,8053.77071208348,76895.9691600994
"30","CR",1052.99093278501,18551.4129219867,8053.77071208348,76895.9691600994
"31","CR",1112.30500317435,18551.4129219867,7976.85353372212,76895.9691600994
"32","CR",1174.96018395374,18551.4129219867,7395.06728751754,76210.1660846327
"33","CR",1241.14467698768,18551.4129219867,6780.5095242139,73342.091491706
"34","CR",1311.05728538925,16391.1286099579,6131.33425253866,70312.4607324439
"35","CR",1384.90801067932,14170.0763412863,5445.5914981242,67112.1734874385
"36","CR",1462.91868358315,14170.0763412863,4783.32953393205,63731.6168241445
"37","CR",1545.32363035932,14170.0763412863,4780.97631761766,60160.6363218232
"38","CR",1632.37037666227,14170.0763412863,4778.03961459782,56388.5055699804
"39","CR",1724.32039105294,14170.0763412863,4774.9374896316,52403.8939486768
"40","CR",1821.4498703906,14170.0763412863,4771.66062464352,48194.8325939312
"41","CR",1924.05056946525,14170.0763412863,4954.81136247016,46843.4220274066
"42","CR",2032.43067736236,13670.3325214215,5483.87812677616,46843.4220274066
"43","CR",2146.91574319259,12446.0541341125,5613.30106155337,46843.4220274066
"44","CR",2267.84965396702,12446.0541341125,5750.01427853945,46843.4220274066
"45","CR",2395.59566755526,12446.0541341125,5816.71695411856,46843.4220274066
"46","CR",2530.53750382916,12446.0541341125,5899.39857477904,46843.4220274066
"47","CR",2673.08049726976,12446.0541341125,6089.77765443448,46843.4220274066
"48","CR",2823.65281449959,12446.0541341125,6718.09313927217,46843.4220274066
"49","CR",2982.70674039744,12446.0541341125,7381.80109306096,46843.4220274066
"50","CR",3150.72003665896,12446.0541341125,8082.89514302901,46843.4220274066
"51","CR",3328.19737688375,12446.0541341125,8774.08981392285,46843.4220274066
"52","CR",3515.67186249967,12446.0541341125,9070.00670465488,46843.4220274066
"53","CR",3713.70662407791,12446.0541341125,9133.80351408472,46843.4220274066
"54","CR",3922.89651284868,12905.3920658235,9201.19394272562,46843.4220274066
"55","CR",4143.86988749854,14170.0763412863,9272.38041604604,46843.4220274066
"56","CR",4377.29050161654,14170.0763412863,9283.16786747398,47311.5763972378
"57","CR",4623.8594974585,14789.3088317783,9009.43479965055,51330.4586801732
"58","CR",4884.31751201832,16403.513526015,9148.57108166278,55575.7211333405
"59","CR",5159.44690173255,18108.6449774304,9175.32914787277,60060.1155563363
"60","CR",5450.0740925005,18551.4129219867,9117.43217698321,64797.112046622
"61","CR",5757.07206207913,21812.4639628269,9033.81977465158,69800.9394606231
"62","CR",6081.36296230893,23822.2769237905,8966.50691245437,75086.6281539661
"63","CR",6423.92088904767,25945.3009141412,10157.0762042347,76237.2442209744
"64","CR",6785.77480813202,28187.9130134503,10110.4743159569,75017.5086138053
"65","CR",7168.0116461561,30556.8495166767,10025.4370920305,80389.834918967
"66","CR",7571.77955535094,33059.2261684603,9932.3303496432,88135.7133861549
"67","CR",7998.29136237175,35702.5595371949,9833.97898481925,93158.6883334034
"68","CR",8448.82821135242,36109.8385286071,9742.05995152417,95251.3239080895
"69","CR",8924.74341217014,35307.2742946649,9781.46119698695,87318.2046269328
"70","CR",9427.4665054794,36946.6618862135,10128.5172075825,78950.319841861
"71","CR",9958.50755672587,37818.3813016892,10628.9654146107,76583.6180640354
"72","CR",10519.4616920385,38320.3712911685,10402.7774097372,76013.3409753218
"73","CR",11112.0138896242,38934.220601757,10347.4785700426,80565.6893649188
"74","CR",11737.9440410579,39582.6475141872,10311.393589392,86371.602826231
"75","CR",12399.132297671,38760.7177355895,10396.5423225741,91087.3789629613
"76","CR",13097.5647180962,39024.6610855153,10685.3170841248,95337.2993111067
"77","CR",13835.339233935,38964.5162988034,10990.3582787473,91972.2163320266
"78","CR",14614.6719514652,38900.9836081681,11312.5821805766,91540.0750880871
"79","CR",15437.9038083186,38833.8721759054,11631.8698532951,91083.5917008649
"80","CR",16307.507605123,38762.9804145883,11931.1942875844,90601.3949984391
"81","CR",17226.0954332316,38961.7839089038,12247.3794089051,88549.2234218977
"82","CR",18196.4265208487,40929.5934145657,12582.8541295023,86336.5614158677
"83","CR",19221.415521122,40472.521289678,12837.2899802088,86090.2056466077
"84","CR",20304.1412670951,40654.2683219695,13106.0579827777,85744.5980264751
"85","CR",21447.8560198199,39540.1462144324,13382.9448253614,85379.5226274002
"86","CR",22655.9952374059,39038.3114978234,13678.5719965996,84845.4557323436
"87","CR",23932.1878943529,38741.4921696127,14038.0441667965,83380.2150014338
"88","CR",25280.2673821622,38667.5415093038,14936.0028913633,81548.401234181
"89","CR",26704.2830239694,38554.3499743864,16328.8499255475,79613.4029784885
"90","CR",28208.5122377873,38395.4735531364,18199.2159630187,77569.4079411829
"91","CR",29797.4733848938,38247.8406081346,20362.2865026735,76319.6356803239
"92","CR",31475.9393419572,38093.103839916,22646.1407342311,76448.1715365792
"93","CR",33248.9518376694,37931.1705940619,24988.7033187818,77598.3031810668
"94","CR",35121.8365969478,37760.1157882362,26914.0105124424,78813.2207483903
"95","CR",37100.2193381975,39469.7959637281,27660.5453865295,79995.5830850111
"96","CR",39190.0426716859,43536.9321948642,28449.131925727,80787.6075923047
"97","CR",41397.5839497876,47929.9646552934,29428.9783401329,81447.9506573655
"98","CR",43729.4741227182,50778.5362369748,30621.2148772904,82145.4902773279
"99","CR",46192.7176563958,52642.7956966675,31023.6914763817,82909.2324677045
"100","CR",48794.713572258,54610.9756183324,32046.2633577245,83422.5563521577
"101","CR",51543.2776722336,58374.1344617412,33126.4358305441,83925.064149324
"102","CR",54446.6660156282,59853.582433052,34256.480319749,87950.0618953331
"103","CR",57513.5997184423,61236.2597261863,35475.6282402603,90490.7874038047
"104","CR",60753.291149613,62666.4362594757,36763.4497108666,93164.2729121633
"105","CR",64175.4716028687,63058.4004490086,38101.4096285265,95478.3331767393
"106","CR",67790.4205273139,62068.6324076513,39533.238034569,97720.5724441933
"107","CR",71608.9964045491,60934.8009159719,41045.7200988882,98282.7910116669
"108","CR",75642.669365071,58992.1475629736,41474.0960860543,103152.581866319
"109","CR",79903.5556419271,58572.8400577085,41119.4541461635,108963.199170074
"110","CR",84404.4539651147,57199.1896084491,41817.5494648763,115101.123531306
"111","CR",89158.8840060456,55748.1626150041,44831.6065946193,121168.034191247
"112","CR",94181.1269875522,55077.8763545616,48560.3746923973,119955.666530018
"113","CR",99486.2685814236,56485.0772815055,51197.2783035664,117232.063917132
"114","CR",105090.24422232,66904.7527293076,51813.5194143138,115497.467948827
"115","CR",111009.88697418,67572.6762644679,53312.0924339557,113225.59654053
"116","CR",117262.978092909,73354.772659502,53500.4726601476,110825.752576694
