IUCN,Generations,median_Ne,lq_Ne,uq_Ne
CR,214.90480000000002,14201.357920458388,4236.047631706887,44279.29759770566
CR,227.01020189600104,14201.357920458388,4236.047631706887,44279.29759770566
CR,239.79749063242468,14201.357920458388,4236.047631706887,44279.29759770566
CR,253.30507630644425,14201.357920458388,4236.047631706887,44279.29759770566
CR,267.57353262285346,14201.357920458388,4236.047631706887,44279.29759770566
CR,282.6457187682182,14201.357920458388,4236.047631706887,44279.29759770566
CR,298.5669081500901,14201.357920458388,4236.047631706887,44279.29759770566
CR,315.3849243879929,14201.357920458388,4236.047631706887,44279.29759770566
CR,333.1502849646598,14201.357920458388,4236.047631706887,44279.29759770566
CR,351.91635296902484,14201.357920458388,4236.047631706887,44279.29759770566
CR,371.739497386762,14201.357920458388,4236.047631706887,44279.29759770566
CR,392.67926241985657,14201.357920458388,4236.047631706887,44279.29759770566
CR,414.79854634379654,14201.357920458388,4236.047631706887,44279.29759770566
CR,438.1637904396411,14201.357920458388,4236.047631706887,44279.29759770566
CR,462.8451785684634,14201.357920458388,4236.047631706887,44279.29759770566
CR,488.91684798765556,14201.357920458388,4236.047631706887,44279.29759770566
CR,516.4571120423277,14201.357920458388,4236.047631706887,44279.29759770566
CR,545.5486954007282,14201.357920458388,4236.047631706887,44279.29759770566
CR,576.2789825402651,14201.357920458388,4236.047631706887,44279.29759770566
CR,608.7402802305376,14201.357920458388,4236.047631706887,44279.29759770566
CR,643.0300948018026,14201.357920458388,4236.047631706887,44279.29759770566
CR,679.2514250317438,14201.357920458388,4236.047631706887,44279.29759770566
CR,717.5130715302888,14201.357920458388,4236.047631706887,44279.29759770566
CR,757.9299635518178,14201.357920458388,4236.047631706887,44279.29759770566
CR,800.6235042164104,14201.357920458388,4216.494565555648,44279.29759770566
CR,845.7219351771156,14185.4059904586,4182.277990671738,44279.29759770566
CR,893.3607218286121,13743.054847026378,4165.18965809304,44279.29759770566
CR,943.6829602143388,13275.786445485433,4165.18965809304,31388.2377147723
CR,996.8398068543511,12782.197218193014,4165.18965809304,30614.02553546104
CR,1052.9909327850132,12260.804535752502,4165.18965809304,29796.202652324933
CR,1112.3050031743546,11786.959431894402,4165.18965809304,28290.88947345748
CR,1174.9601839537427,11786.959431894402,4165.18965809304,25553.232494769945
CR,1241.1446769876784,11786.959431894402,4165.18965809304,23860.780498176056
CR,1311.0572853892495,11786.959431894402,4165.18965809304,23860.780498176056
CR,1384.908010679316,11608.273089616956,4165.18965809304,23860.780498176056
CR,1462.9186835831524,10238.07492223943,4072.027526539732,23860.780498176056
CR,1545.3236303593194,9953.457621274705,3353.1565864410313,23860.780498176056
CR,1632.370376662271,9652.80807340469,3607.3432118630417,23860.780498176056
CR,1724.3203910529362,9335.223195998911,4028.7871254444754,23860.780498176056
CR,1821.4498703906029,8999.749036561787,4473.970610922526,23860.780498176056
CR,1924.05056946525,8645.377907277038,4818.973110869041,22313.408707465554
CR,2032.4306773623564,8380.616932921745,4845.784784240502,19429.401188268752
CR,2146.915743192587,7643.819024862862,4815.284954214216,19429.401188268752
CR,2267.8496539670227,7903.5176785222375,4783.067095087472,19429.401188268752
CR,2395.5956675552607,8177.844933191907,4749.034431763905,19429.401188268752
CR,2530.5375038291586,8467.624805340582,4633.392829143291,19429.401188268752
CR,2673.0804972697642,8773.727727573441,4488.956930453742,19429.401188268752
CR,2823.6528144995923,9097.073163213026,4564.348378265135,19429.401188268752
CR,2982.706740397441,9422.02035936118,4840.87244010074,19429.401188268752
CR,3150.7200366589586,9563.307278969158,5132.972863666912,19429.401188268752
CR,3328.197376883745,9634.560572526414,5441.527051975707,19429.401188268752
CR,3515.671862499668,10085.0041516141,5772.651781748216,19429.401188268752
CR,3713.706624077915,10233.19449359981,6132.519746829952,19429.401188268752
CR,3922.896512848684,10156.413091169961,6505.136278965629,19554.15667913662
CR,4143.869887498541,10036.216312783647,6801.214415483609,19791.0806049939
CR,4377.290501616543,9940.179179017163,7113.9703778815665,21245.675314986347
CR,4623.859497458498,10028.861465304044,7789.94933523235,25795.242830614625
CR,4884.317512018323,10122.539148234271,8129.746422581135,28301.464235348074
CR,5159.446901732548,10803.705610558174,7780.13840844553,30948.85892864771
CR,5450.074092500496,11606.97395169369,7410.83727662632,33745.3790800093
CR,5757.072062079125,12698.140665680952,7263.69948228799,36699.424797772925
CR,6081.362962308935,13159.104442653866,7706.057178068087,41188.773962493404
CR,6423.920889047669,12963.682163615225,8374.561916619747,51769.48522462016
CR,6785.774808132018,14412.7978375054,8727.722001392229,59519.76319465969
CR,7168.011646156097,15968.564822437571,9140.56310006964,59123.98632133554
CR,7571.779555350939,17613.25390775893,9131.533906103059,52618.027365429865
CR,7998.291362371754,19371.338181271094,9168.801956187837,49761.37214306131
CR,8448.82821135242,21228.45382447761,9208.169283367197,52622.32247487985
CR,8924.743412170143,22699.728695642312,9388.350851469622,55644.4276695548
CR,9427.466505479399,23892.646464058376,9782.643266668343,58836.76544141525
CR,9958.50755672587,25347.552418456035,9725.059717530119,62208.92484460329
CR,10519.461692038481,26013.506083917466,9800.304046724323,65771.03507640472
CR,11112.013889624168,26643.39992266269,10063.416964304084,64379.04720854353
CR,11737.944041057948,27753.90736129232,9985.300981797514,65504.042582584356
CR,12399.132297671,28926.968725442042,9761.04254098933,66287.5575219129
CR,13097.564718096202,30139.471091880507,9926.553339150385,66867.47598497079
CR,13835.339233934994,31250.794751226444,10108.895212145484,67480.06075451522
CR,14614.67195146524,32533.143166945585,10302.125981336878,68127.15189539571
CR,15437.903808318573,33994.069231615955,10615.0003002991,68810.6931217266
CR,16307.507605123023,35576.86327279615,10944.381834397023,70236.38752412198
CR,17226.095433231596,37250.7510774753,11282.116558224618,71174.13071284446
CR,18196.426520848698,38809.11372438814,11655.825259877238,71288.75091615033
CR,19221.41552112196,39694.98710572729,12062.740540680488,70998.76580775328
CR,20304.14126709512,40334.74436676556,12469.278436343955,70649.75866697932
CR,21447.85601981985,39264.55783224007,12857.00444622749,70128.76417902256
CR,22655.99523740589,38923.20408189199,13124.572413714406,69357.89117048105
CR,23932.187894352937,38624.85051719134,13462.444907450958,68393.68006373697
CR,25280.2673821622,38348.922489245524,14669.408780829015,67375.15577757703
CR,26704.283023969358,38544.79194591638,15905.018579860187,66299.25889748339
CR,28208.51223778732,37769.076966729976,17056.269175302863,64962.93250330983
CR,29797.47338489375,36649.17103492817,18553.391319579423,64162.07917658758
CR,31475.939341957215,35466.78787517328,20123.78994028906,63683.735010429344
CR,33248.95183766941,35357.22028603003,21779.818692268844,63178.446130258446
CR,35121.836596947796,35964.868401226515,23818.820029190254,62635.44963359269
CR,37100.21933819748,37347.7920440035,24892.9787291944,62246.9678161647
CR,39190.04267168593,38967.095611033415,24077.791636503858,62198.39410248095
CR,41397.583949787615,40181.52671243936,23385.608195815134,62147.08427343017
CR,43729.47412271824,40302.61508620044,22983.99947504946,62115.385368067706
CR,46192.71765639585,41415.9207763761,23538.066397456634,62099.64581250414
CR,48794.713572258006,44209.73378070789,24633.726855320165,62078.30494530947
CR,51543.27767223361,47174.18796953444,25791.104921091915,62055.7619654854
CR,54446.666015628194,49880.47928439384,27141.41032070594,62176.0447585702
CR,57513.599718442274,50647.6141005434,28561.52983352562,62063.023896330946
CR,60753.29114961297,51089.210982347664,30061.643452773,63637.279493784874
CR,64175.47160286867,50955.867920094344,31656.9295320606,65437.55298823467
CR,67790.42052731394,51081.93192983496,33458.60237404062,67852.50528193779
CR,71608.99640454912,51287.35629554518,35361.7618921548,70239.26526786562
CR,75642.66936507098,51805.98183868312,37343.08590359767,70270.4952584305
CR,79903.5556419271,51831.89473077872,39575.437331920635,70315.47734186117
CR,84404.45396511474,52030.68264513067,40976.741477619085,70437.03081412974
CR,89158.88400604555,52639.81782429292,43423.557248589226,70887.93467562928
CR,94181.12698755217,54090.87570523469,46745.76444819814,73077.10342044661
CR,99486.26858142363,56037.29975616351,51473.247312156964,72846.23283053223
CR,105090.24422231964,63015.95178968949,52168.0001447074,73702.67933525011
CR,111009.88697418036,67443.34660414886,53671.10539720932,79604.08588137025
CR,117262.97809290876,69363.86318384949,53915.86674188181,90853.93561461818
CR,123868.3004372055,69058.83832778821,54391.66873216818,99335.58243119583
CR,130845.69488798986,71384.7596264602,56891.85213560492,108082.3963032197
CR,138216.11994587895,75068.7861672274,57314.800473893854,112703.3815620936
CR,146001.71468573905,80370.35348698928,58475.72492603181,114390.6464939988
CR,154225.86525741612,92684.80954773865,58777.38847518293,121295.18529433693
CR,162913.27513239108,105692.92828957288,58986.793014111565,128595.53639424019
CR,172090.03930737174,117814.96752714258,59351.02948804086,136951.82420324476
CR,181783.72268770734,128379.1186662312,60313.35915514944,139829.02138627207
CR,192023.44288607375,131136.35258719776,61513.994535977305,156675.8827422196
CR,202839.95768513661,132933.44512491996,57157.356825614836,174151.73629147492
CR,214265.75742691258,119326.62971312492,57636.626149813914,186931.01757476252
