"","Generations_end","IUCN","Ne_median","Ne_min","Ne_max","Ne_lq","Ne_uq"
"1",0,"CR",29253.0240313592,1059.94239213099,9693632.73733648,8053.77071208348,151701.437123711
"2",0,"EN",20663.3882024129,1201.29138824236,289475.398209595,7847.43420576871,60000.6476432352
"3",0,"VU",59807.7181860319,1713.20150247772,3266692.80020907,12081.4896476736,162387.74946818
"4",0,"NT",72375.2048997299,10036.7092641336,16910244.6489645,30442.0166455272,130535.790769695
"5",0,"LC",61225.4253442079,1671.17884956048,456814472.796127,27800.4841755736,271511.36446245
"6",214.9048,"LC",6328312.87178838,6328312.87178838,6328312.87178838,6328312.87178838,6328312.87178838
"7",304.5872,"EN",1201.29138824236,1201.29138824236,1201.29138824236,1201.29138824236,1201.29138824236
"8",329.1056,"CR",9693632.73733648,9693632.73733648,9693632.73733648,9693632.73733648,9693632.73733648
"9",352.364,"EN",12426.2965287141,12426.2965287141,12426.2965287141,12426.2965287141,12426.2965287141
"10",437.924,"LC",12897775.4561782,12897775.4561782,12897775.4561782,12897775.4561782,12897775.4561782
"11",443.0208,"LC",22730.5014916892,22730.5014916892,22730.5014916892,22730.5014916892,22730.5014916892
"12",447.2248,"LC",213119.64536891,213119.64536891,213119.64536891,213119.64536891,213119.64536891
"13",450.1104,"LC",2557659.23027245,2557659.23027245,2557659.23027245,2557659.23027245,2557659.23027245
"14",466.2888,"LC",825131.866386397,825131.866386397,825131.866386397,825131.866386397,825131.866386397
"15",513.312,"LC",12156909.227398,12156909.227398,12156909.227398,12156909.227398,12156909.227398
"16",532.536,"CR",15956.6617068043,15956.6617068043,15956.6617068043,15956.6617068043,15956.6617068043
"17",546.5952,"VU",1268950.98994039,1268950.98994039,1268950.98994039,1268950.98994039,1268950.98994039
"18",553.3824,"LC",1671.17884956048,1671.17884956048,1671.17884956048,1671.17884956048,1671.17884956048
"19",570.2568,"NT",20660.9435852935,20660.9435852935,20660.9435852935,20660.9435852935,20660.9435852935
"20",573.1648,"VU",162387.74946818,162387.74946818,162387.74946818,162387.74946818,162387.74946818
"21",574.528,"NT",16910244.6489645,16910244.6489645,16910244.6489645,16910244.6489645,16910244.6489645
"22",577.6824,"LC",2611.20467927879,2611.20467927879,2611.20467927879,2611.20467927879,2611.20467927879
"23",600.224,"LC",185564.045110619,185564.045110619,185564.045110619,185564.045110619,185564.045110619
"24",604.0872,"LC",17793436.0014591,17793436.0014591,17793436.0014591,17793436.0014591,17793436.0014591
"25",616.256,"LC",58293.232447179,58293.232447179,58293.232447179,58293.232447179,58293.232447179
"26",627.0416,"LC",29812.4795039203,29812.4795039203,29812.4795039203,29812.4795039203,29812.4795039203
"27",630.692,"LC",16665.0695974969,16665.0695974969,16665.0695974969,16665.0695974969,16665.0695974969
"28",655.4368,"LC",7558707.53659832,7558707.53659832,7558707.53659832,7558707.53659832,7558707.53659832
"29",660.8776,"EN",1063.25291597112,1063.25291597112,1063.25291597112,1063.25291597112,1063.25291597112
"30",675.7832,"EN",4943.56915806074,4943.56915806074,4943.56915806074,4943.56915806074,4943.56915806074
"31",691.6392,"LC",2968.59229353441,2968.59229353441,2968.59229353441,2968.59229353441,2968.59229353441
"32",704.2112,"LC",36648.1593461968,36648.1593461968,36648.1593461968,36648.1593461968,36648.1593461968
"33",714.076,"CR",38052.8363632904,38052.8363632904,38052.8363632904,38052.8363632904,38052.8363632904
"34",731.3728,"CR",89358.1182967449,89358.1182967449,89358.1182967449,89358.1182967449,89358.1182967449
"35",754.3752,"LC",91763.9555770691,91763.9555770691,91763.9555770691,91763.9555770691,91763.9555770691
"36",760.3464,"LC",7101.7431228495,7101.7431228495,7101.7431228495,7101.7431228495,7101.7431228495
"37",762.4536,"LC",42508.3316330001,42508.3316330001,42508.3316330001,42508.3316330001,42508.3316330001
"38",764.5424,"EN",4228.61141915371,4228.61141915371,4228.61141915371,4228.61141915371,4228.61141915371
"39",777.0264,"EN",4852.57866030008,4852.57866030008,4852.57866030008,4852.57866030008,4852.57866030008
"40",784.7056,"LC",51131.4756416041,51131.4756416041,51131.4756416041,51131.4756416041,51131.4756416041
"41",809.584,"LC",23842591.212813,23842591.212813,23842591.212813,23842591.212813,23842591.212813
"42",816.888,"CR",1059.94239213099,1059.94239213099,1059.94239213099,1059.94239213099,1059.94239213099
"43",818.048,"LC",24095514.6199535,24095514.6199535,24095514.6199535,24095514.6199535,24095514.6199535
"44",818.872,"NT",11662.3515965759,11662.3515965759,11662.3515965759,11662.3515965759,11662.3515965759
"45",835.872,"NT",15164726.8453577,15164726.8453577,15164726.8453577,15164726.8453577,15164726.8453577
"46",840.312,"VU",12081.4896476736,12081.4896476736,12081.4896476736,12081.4896476736,12081.4896476736
"47",871.664,"LC",8667.97119633171,8667.97119633171,8667.97119633171,8667.97119633171,8667.97119633171
"48",872.488,"NT",60722.4452928719,60722.4452928719,60722.4452928719,60722.4452928719,60722.4452928719
"49",904.832,"LC",1584578.87835584,1584578.87835584,1584578.87835584,1584578.87835584,1584578.87835584
"50",922.648,"LC",61441.6672810833,61441.6672810833,61441.6672810833,61441.6672810833,61441.6672810833
"51",931.032,"CR",4979.67669449061,4979.67669449061,4979.67669449061,4979.67669449061,4979.67669449061
"52",945.464,"EN",2841.15123448021,2841.15123448021,2841.15123448021,2841.15123448021,2841.15123448021
"53",950.184,"LC",2038715.2016799,2038715.2016799,2038715.2016799,2038715.2016799,2038715.2016799
"54",961.24,"LC",1996.85495344832,1996.85495344832,1996.85495344832,1996.85495344832,1996.85495344832
"55",967.408,"VU",1713.20150247772,1713.20150247772,1713.20150247772,1713.20150247772,1713.20150247772
"56",970.368,"LC",14226.9265926155,14226.9265926155,14226.9265926155,14226.9265926155,14226.9265926155
"57",976.624,"LC",29333.6853375574,29333.6853375574,29333.6853375574,29333.6853375574,29333.6853375574
"58",989.368,"LC",36307.8542965807,36307.8542965807,36307.8542965807,36307.8542965807,36307.8542965807
"59",1022.08,"LC",4179.72395013171,4179.72395013171,4179.72395013171,4179.72395013171,4179.72395013171
"60",1046.032,"EN",8855.80752787919,8855.80752787919,8855.80752787919,8855.80752787919,8855.80752787919
"61",1052.792,"LC",37248.4565170831,37248.4565170831,37248.4565170831,37248.4565170831,37248.4565170831
"62",1077.648,"EN",2016.6575917075,2016.6575917075,2016.6575917075,2016.6575917075,2016.6575917075
"63",1097.728,"LC",17143.9837475034,17143.9837475034,17143.9837475034,17143.9837475034,17143.9837475034
"64",1104.32,"LC",1135.79251342365,1135.79251342365,1135.79251342365,1135.79251342365,1135.79251342365
"65",1113.76,"LC",49497.9056198685,49497.9056198685,49497.9056198685,49497.9056198685,49497.9056198685
