species,lineage,IUCN_status,captivity_flag,left_time_boundary_0,right_time_boundary_0,lambda_0,left_time_boundary_1,right_time_boundary_1,lambda_1,left_time_boundary_2,right_time_boundary_2,lambda_2,left_time_boundary_3,right_time_boundary_3,lambda_3,left_time_boundary_4,right_time_boundary_4,lambda_4,left_time_boundary_5,right_time_boundary_5,lambda_5,left_time_boundary_6,right_time_boundary_6,lambda_6,left_time_boundary_7,right_time_boundary_7,lambda_7,left_time_boundary_8,right_time_boundary_8,lambda_8,left_time_boundary_9,right_time_boundary_9,lambda_9,left_time_boundary_10,right_time_boundary_10,lambda_10,left_time_boundary_11,right_time_boundary_11,lambda_11,left_time_boundary_12,right_time_boundary_12,lambda_12,left_time_boundary_13,right_time_boundary_13,lambda_13,left_time_boundary_14,right_time_boundary_14,lambda_14,left_time_boundary_15,right_time_boundary_15,lambda_15,left_time_boundary_16,right_time_boundary_16,lambda_16,left_time_boundary_17,right_time_boundary_17,lambda_17,left_time_boundary_18,right_time_boundary_18,lambda_18,left_time_boundary_19,right_time_boundary_19,lambda_19,left_time_boundary_20,right_time_boundary_20,lambda_20,left_time_boundary_21,right_time_boundary_21,lambda_21,left_time_boundary_22,right_time_boundary_22,lambda_22,left_time_boundary_23,right_time_boundary_23,lambda_23,left_time_boundary_24,right_time_boundary_24,lambda_24,left_time_boundary_25,right_time_boundary_25,lambda_25,left_time_boundary_26,right_time_boundary_26,lambda_26,left_time_boundary_27,right_time_boundary_27,lambda_27,left_time_boundary_28,right_time_boundary_28,lambda_28,left_time_boundary_29,right_time_boundary_29,lambda_29,left_time_boundary_30,right_time_boundary_30,lambda_30,left_time_boundary_31,right_time_boundary_31,lambda_31
Abramis_brama,Ray-finned fishes,LC,no,0.0,2.98688e-05,705.907,2.98688e-05,6.48078e-05,705.907,6.48078e-05,0.000105678,523.96,0.000105678,0.000153485,585.808,0.000153485,0.000209408,660.681,0.000209408,0.000274824,709.052,0.000274824,0.000351344,693.623,0.000351344,0.000440854,654.586,0.000440854,0.000545557,651.814,0.000545557,0.000668035,673.169,0.000668035,0.000811302,691.124,0.000811302,0.00097889,698.687,0.00097889,0.00117492,694.556,0.00117492,0.00140424,670.776,0.00140424,0.00167247,627.624,0.00167247,0.00198625,575.172,0.00198625,0.00235328,519.083,0.00235328,0.00278262,459.347,0.00278262,0.00328484,396.579,0.00328484,0.00387231,332.874,0.00387231,0.0045595,270.378,0.0045595,0.00536334,211.588,0.00536334,0.00630364,159.123,0.00630364,0.00740355,115.677,0.00740355,0.00869017,83.2438,0.00869017,0.0101952,62.1543,0.0101952,0.0119557,53.2848,0.0119557,0.014015,105.539,0.014015,0.016424,105.539,0.016424,0.0192418,9.67801,0.0192418,0.022538,9.67801,0.022538,inf,9.67801
Acanthisitta_chloris,Birds,LC,no,0.0,1.98712e-05,1396.09,1.98712e-05,4.31155e-05,1396.09,4.31155e-05,7.03055e-05,963.517,7.03055e-05,0.000102111,612.738,0.000102111,0.000139315,489.676,0.000139315,0.000182835,512.148,0.000182835,0.000233743,639.839,0.000233743,0.000293292,835.586,0.000293292,0.000362949,1050.3,0.000362949,0.000444431,1211.86,0.000444431,0.000539744,1263.72,0.000539744,0.000651237,1219.39,0.000651237,0.000781656,1132.15,0.000781656,0.000934213,1044.21,0.000934213,0.00111267,975.446,0.00111267,0.00132141,927.833,0.00132141,0.00156559,890.111,0.00156559,0.00185122,843.554,0.00185122,0.00218534,775.795,0.00218534,0.00257617,688.295,0.00257617,0.00303335,592.016,0.00303335,0.00356813,499.177,0.00356813,0.00419369,417.958,0.00419369,0.00492544,351.317,0.00492544,0.00578141,297.48,0.00578141,0.00678267,254.295,0.00678267,0.0079539,224.243,0.0079539,0.00932395,262.685,0.00932395,0.0109266,262.685,0.0109266,0.0128012,13.3113,0.0128012,0.0149941,13.3113,0.0149941,inf,13.3113
Acipenser_ruthenus,Ray-finned fishes,CR,no,0.0,3.11376e-05,122.213,3.11376e-05,6.75607e-05,122.213,6.75607e-05,0.000110167,292.002,0.000110167,0.000160005,845.412,0.000160005,0.000218304,1671.5,0.000218304,0.000286498,2094.71,0.000286498,0.000366269,1798.87,0.000366269,0.00045958,1267.58,0.00045958,0.000568732,845.358,0.000568732,0.000696412,577.928,0.000696412,0.000845765,422.622,0.000845765,0.00102047,335.893,0.00102047,0.00122483,290.313,0.00122483,0.00146389,270.388,0.00146389,0.00174352,266.998,0.00174352,0.00207062,274.272,0.00207062,0.00245324,287.582,0.00245324,0.00290082,302.605,0.00290082,0.00342437,315.346,0.00342437,0.00403679,322.409,0.00403679,0.00475318,320.984,0.00475318,0.00559117,308.896,0.00559117,0.0065714,285.29,0.0065714,0.00771804,250.996,0.00771804,0.00905931,208.767,0.00905931,0.0106283,164.801,0.0106283,0.0124636,128.071,0.0124636,0.0146104,118.671,0.0146104,0.0171216,118.671,0.0171216,0.0200592,10.1972,0.0200592,0.0234953,10.1972,0.0234953,inf,10.1972
Acridotheres_tristis,Birds,LC,no,0.0,3.77454e-05,219.15,3.77454e-05,8.1898e-05,219.15,8.1898e-05,0.000133546,104.075,0.000133546,0.00019396,70.1416,0.00019396,0.00026463,95.9349,0.00026463,0.000347297,150.463,0.000347297,0.000443996,177.323,0.000443996,0.000557109,170.681,0.000557109,0.000689424,158.503,0.000689424,0.000844199,175.051,0.000844199,0.00102525,231.309,0.00102525,0.00123703,330.13,0.00123703,0.00148476,467.08,0.00148476,0.00177454,625.555,0.00177454,0.00211352,768.774,0.00211352,0.00251003,846.939,0.00251003,0.00297385,837.678,0.00297385,0.00351641,769.074,0.00351641,0.00415107,673.106,0.00415107,0.00489346,557.11,0.00489346,0.00576186,436.477,0.00576186,0.00677769,330.541,0.00677769,0.00796594,241.578,0.00796594,0.00935591,166.516,0.00935591,0.0109818,108.435,0.0109818,0.0128837,72.2966,0.0128837,0.0151085,57.7514,0.0151085,0.0177109,129.668,0.0177109,0.0207551,129.668,0.0207551,0.024316,13.023,0.024316,0.0284814,13.023,0.0284814,inf,13.023
Aegotheles_albertisi,Birds,LC,no,0.0,4.96963e-05,154.58,4.96963e-05,0.000107828,154.58,0.000107828,0.000175829,133.439,0.000175829,0.000255372,142.851,0.000255372,0.000348417,172.298,0.000348417,0.000457258,244.553,0.000457258,0.000584573,352.499,0.000584573,0.000733501,449.536,0.000733501,0.000907709,463.079,0.000907709,0.00111149,401.067,0.00111149,0.00134986,328.926,0.00134986,0.0016287,283.296,0.0016287,0.00195486,264.742,0.00195486,0.0023364,265.429,0.0023364,0.0027827,280.352,0.0027827,0.00330475,306.856,0.00330475,0.00391543,341.905,0.00391543,0.00462977,380.943,0.00462977,0.00546537,416.068,0.00546537,0.00644282,433.414,0.00644282,0.00758618,417.407,0.00758618,0.00892363,363.959,0.00892363,0.0104881,289.868,0.0104881,0.0123182,223.865,0.0123182,0.0144589,175.875,0.0144589,0.016963,133.744,0.016963,0.0198921,92.4765,0.0198921,0.0233185,68.4092,0.0233185,0.0273265,68.4092,0.0273265,0.0320149,15.6612,0.0320149,0.0374991,15.6612,0.0374991,inf,15.6612
Agelaius_phoeniceus,Birds,LC,no likely,0.0,7.62271e-05,9.2093,7.62271e-05,0.000165394,9.2093,0.000165394,0.000269696,39.8823,0.000269696,0.000391705,30.783,0.000391705,0.000534423,40.6359,0.000534423,0.000701369,47.0959,0.000701369,0.000896653,61.3342,0.000896653,0.00112509,82.1926,0.00112509,0.0013923,108.352,0.0013923,0.00170487,143.363,0.00170487,0.0020705,185.474,0.0020705,0.00249819,227.266,0.00249819,0.00299848,262.207,0.00299848,0.0035837,288.014,0.0035837,0.00426826,305.381,0.00426826,0.00506903,317.544,0.00506903,0.00600572,327.831,0.00600572,0.00710142,335.589,0.00710142,0.00838311,335.671,0.00838311,0.00988237,322.37,0.00988237,0.0116361,293.419,0.0116361,0.0136876,251.455,0.0136876,0.0160873,201.359,0.0160873,0.0188943,147.762,0.0188943,0.0221779,97.803,0.0221779,0.0260188,61.4317,0.0260188,0.0305117,42.7911,0.0305117,0.0357673,63.0205,0.0357673,0.041915,63.0205,0.041915,0.0491063,9.6673,0.0491063,0.0575183,9.6673,0.0575183,inf,9.6673
Alligator_mississippiensis,Crocodilians,LC,no,0.0,7.22103e-06,15318.6,7.22103e-06,1.56678e-05,15318.6,1.56678e-05,2.55485e-05,15494.4,2.55485e-05,3.71063e-05,7124.88,3.71063e-05,5.06262e-05,7549.09,5.06262e-05,6.6441e-05,5726.59,6.6441e-05,8.49403e-05,5414.26,8.49403e-05,0.00010658,5584.27,0.00010658,0.000131893,5154.72,0.000131893,0.000161503,4334.75,0.000161503,0.000196139,3593.67,0.000196139,0.000236654,3028.27,0.000236654,0.000284048,2572.85,0.000284048,0.000339486,2207.88,0.000339486,0.000404334,1900.35,0.000404334,0.000480191,1614.43,0.000480191,0.000568925,1379.28,0.000568925,0.000672721,1203.57,0.000672721,0.000794136,1078.61,0.000794136,0.000936161,990.025,0.000936161,0.0011023,918.098,0.0011023,0.00129663,844.103,0.00129663,0.00152396,758.888,0.00152396,0.00178987,659.022,0.00178987,0.00210092,552.947,0.00210092,0.00246477,463.425,0.00246477,0.00289039,433.76,0.00289039,0.00338825,1407.79,0.00338825,0.00397063,1407.79,0.00397063,0.00465186,37.5535,0.00465186,0.00544874,37.5535,0.00544874,inf,37.5535
Alosa_sapidissima,Ray-finned fishes,LC,no,0.0,3.25877e-05,96.812,3.25877e-05,7.07072e-05,96.812,7.07072e-05,0.000115297,467.218,0.000115297,0.000167457,567.799,0.000167457,0.000228471,807.552,0.000228471,0.000299841,1005.48,0.000299841,0.000383327,1048.44,0.000383327,0.000480984,926.518,0.000480984,0.000595219,780.424,0.000595219,0.000728845,686.804,0.000728845,0.000885154,636.125,0.000885154,0.001068,608.388,0.001068,0.00128188,591.183,0.00128188,0.00153206,572.077,0.00153206,0.00182472,545.221,0.00182472,0.00216705,511.972,0.00216705,0.0025675,472.96,0.0025675,0.00303592,423.995,0.00303592,0.00358385,358.89,0.00358385,0.0042248,277.757,0.0042248,0.00497454,191.254,0.00497454,0.00585156,118.518,0.00585156,0.00687745,70.6502,0.00687745,0.00807749,44.3325,0.00807749,0.00948123,31.8814,0.00948123,0.0111233,27.9215,0.0111233,0.013044,31.1276,0.013044,0.0152908,101.44,0.0152908,0.017919,101.44,0.017919,0.0209934,8.06246,0.0209934,0.0245896,8.06246,0.0245896,inf,8.06246
Amazona_ochrocephala,Birds,LC,no,0.0,3.1607e-05,1131.83,3.1607e-05,6.85793e-05,1131.83,6.85793e-05,0.000111828,365.851,0.000111828,0.000162417,561.792,0.000162417,0.000221595,521.857,0.000221595,0.000290817,533.81,0.000290817,0.00037179,711.304,0.00037179,0.000466509,917.497,0.000466509,0.000577306,932.821,0.000577306,0.00070691,749.595,0.00070691,0.000858515,576.188,0.000858515,0.00103585,479.764,0.00103585,0.0012433,441.659,0.0012433,0.00148596,439.599,0.00148596,0.0017698,450.215,0.0017698,0.00210183,458.407,0.00210183,0.00249023,461.366,0.00249023,0.00294455,463.337,0.00294455,0.00347599,468.816,0.00347599,0.00409765,476.044,0.00409765,0.00482483,474.879,0.00482483,0.00567546,449.423,0.00567546,0.00667047,386.84,0.00667047,0.00783439,296.721,0.00783439,0.00919588,211.528,0.00919588,0.0107885,153.894,0.0107885,0.0126514,129.197,0.0126514,0.0148306,292.312,0.0148306,0.0173797,292.312,0.0173797,0.0203616,19.1075,0.0203616,0.0238495,19.1075,0.0238495,inf,19.1075
Amblyopsis_spelaea,Ray-finned fishes,CR,no,0.0,3.56806e-05,2822.85,3.56806e-05,7.7418e-05,2822.85,7.7418e-05,0.00012624,1092.3,0.00012624,0.00018335,1357.11,0.00018335,0.000250155,1020.79,0.000250155,0.000328299,746.365,0.000328299,0.000419708,577.016,0.000419708,0.000526634,487.095,0.000526634,0.000651711,430.209,0.000651711,0.00079802,393.651,0.00079802,0.000969164,368.329,0.000969164,0.00116936,350.617,0.00116936,0.00140354,344.373,0.00140354,0.00167747,351.986,0.00167747,0.0019979,375.223,0.0019979,0.00237273,408.987,0.00237273,0.00281118,444.45,0.00281118,0.00332405,473.551,0.00332405,0.00392399,488.134,0.00392399,0.00462577,476.128,0.00462577,0.00544668,412.491,0.00544668,0.00640693,283.809,0.00640693,0.00753019,147.256,0.00753019,0.00884412,65.4445,0.00884412,0.0103811,30.8434,0.0103811,0.012179,19.7845,0.012179,0.014282,21.0471,0.014282,0.0167421,109.95,0.0167421,0.0196197,109.95,0.0196197,0.0229858,15.1154,0.0229858,0.0269234,15.1154,0.0269234,inf,15.1154
