ID,Species_Name,vgp_group,Accession,Secondary_Accession
mMonMon,Monodon_monoceros,mammals,GCA_005190385.3,GCA_029941395.3
bGeoTri,Geothlypis_trichas,birds,GCA_009764595.1,GCA_009764545.1
bTauEry,Tauraco_erythrolophus,birds,GCA_009769465.1,GCA_009764505.1
bPteGut,Pterocles_gutturalis,birds,GCA_009769525.1,GCA_009769505.1
bBucAby,Bucorvus_abyssinicus,birds,GCA_009769605.1,GCA_009769595.1
bMerNub,Merops_nubicus,birds,GCA_009819595.1,GCA_009819585.1
bSteHir,Sterna_hirundo,birds,GCA_009819605.1,GCA_009819645.1
bPhoRub,Phoenicopterus_ruber,birds,GCA_009819775.1,GCA_009819805.1
bCarCri,Cariama_cristata,birds,GCA_009819825.1,GCA_009819485.1
bBalReg,Balearica_regulorum,birds,GCA_011004875.1,GCA_011004865.1
fAntMac,Antennarius_maculatus,fishes,GCA_013358685.1,GCA_013347815.1
bLycPyr,Lycocorax_pyrrhopterus,birds,GCA_014706295.1,GCA_014706015.1
fAnaAna,Anableps_anableps,fishes,GCA_014839685.1,GCA_014839705.1
bSylBor,Sylvia_borin,birds,GCA_014839755.1,GCA_014839765.1
fXenCan,Xenentodon_cancila,fishes,GCA_014839995.1,GCA_014839645.1
bAcaChl,Acanthisitta_chloris,birds,GCA_016904835.1,GCA_016880875.1
bPluApr,Pluvialis_apricaria,birds,GCA_017639485.1,GCA_017639475.1
bCicMag,Ciconia_maguari,birds,GCA_017639555.1,GCA_017639665.1
fAplTae,Aplochiton_taeniatus,fishes,GCA_017639675.1,GCA_017639685.1
fMicSal,Micropterus_salmoides,fishes,GCA_019677235.1,GCA_036785525.1
fPhoLeu,Pholidichthys_leucotaenia,fishes,GCA_020510985.1,GCA_020510965.1
fTauAds,Tautogolabrus_adspersus,fishes,GCA_020745685.1,GCA_020745675.1
bHemCom,Hemiprocne_comata,birds,GCA_020745705.1,GCA_020745695.1
bTheCae,Theristicus_caerulescens,birds,GCA_020745775.1,GCA_020745805.1
bTroSur,Trogon_surrucura,birds,GCA_020746105.1,GCA_020746095.1
bPorHoc,Porphyrio_hochstetteri,birds,GCA_020800305.1,GCA_020801775.1
mDesRot,Desmodus_rotundus,mammals,GCA_022682495.2,GCA_022682395.2
rAspTig,Aspidoscelis_tigris,reptiles,GCA_023333525.2,GCA_023333555.2
bPhaSup,Phaethornis_superciliosus,birds,GCA_023637945.2,GCA_023637925.2
mTamTet,Tamandua_tetradactyla,mammals,GCA_023851605.1,GCA_023853755.1
fClaGar,Clarias_gariepinus,fishes,GCA_024256435.1,GCA_024256465.1
rVipLat,Vipera_latastei,reptiles,GCA_024294585.1,GCA_024294605.1
mPerMan,Peromyscus_maniculatus,mammals,GCA_026229955.1,GCA_026167925.1
mCorTow,Corynorhinus_townsendii,mammals,GCA_026230055.1,GCA_026230045.1
aPleWal,Pleurodeles_waltl,amphibians,GCA_026652325.1,GCA_031142525.1
aDisPic,Discoglossus_pictus,amphibians,GCA_027410445.1,GCA_027410455.1
bSphHum,Spheniscus_humboldti,birds,GCA_027474245.1,GCA_027474345.1
bAcrTri,Acridotheres_tristis,birds,GCA_027559615.1,GCA_037013685.1
bRhyJub,Rhynochetos_jubatus,birds,GCA_027574665.1,GCA_027595965.1
aGasCar,Gastrophryne_carolinensis,amphibians,GCA_027917425.1,GCA_027917415.1
fOdoBon,Odontesthes_bonariensis,fishes,GCA_027942865.1,GCA_027942885.1
bPodStr,Podargus_strigoides,birds,GCA_028020825.1,GCA_028020675.1
fLycPac,Lycodopsis_pacificus,fishes,GCA_028022725.1,GCA_028021495.1
bGypBar,Gypaetus_barbatus,birds,GCA_028022735.1,GCA_028017155.1
mEreDor,Erethizon_dorsatum,mammals,GCA_028451465.1,GCA_028500835.1
mHetBru,Heterohyrax_brucei,mammals,GCA_028571685.1,GCA_028571665.1
bAraAra,Ara_ararauna,birds,GCA_028858755.1,GCA_028858555.1
rAnnSte,Anniella_stebbinsi,reptiles,GCA_029215775.1,GCA_029215795.1
rGavGan,Gavialis_gangeticus,reptiles,GCA_030020295.1,GCA_030020385.1
mDugDug,Dugong_dugon,mammals,GCA_030035585.1,GCA_030020955.1
