genus,species_only,clade,species,Lineage,Extended_lineage,primary_accession_num,alternate_accession_num,IUCN,zoo_flag,short_name,FROH_file_name,Het_file_name,MSMC_file_name,Genome_length_file_name,Align_file_name,AlnBin_file_name,ROH_csv_file_name,config_file_name,System,all_SROH,all_NROH,all_FROH_percent,all_aln_SROH,all_aln_NROH,all_aln_FROH_percent,500kb+_SROH,500kb+_NROH,500kb+_FROH_percent,500kb+_aln_SROH,500kb+_aln_NROH,500kb+_aln_FROH_percent,1Mb+_SROH,1Mb+_NROH,1Mb+_FROH_percent,1Mb+_aln_SROH,1Mb+_aln_NROH,1Mb+_aln_FROH_percent,10Mb+_SROH,10Mb+_NROH,10Mb+_FROH_percent,10Mb+_aln_SROH,10Mb+_aln_NROH,10Mb+_aln_FROH_percent,1%+_SROH,1%+_NROH,1%+_FROH_percent,1%+_aln_SROH,1%+_aln_NROH,1%+_aln_FROH_percent,10%+_SROH,10%+_NROH,10%+_FROH_percent,10%+_aln_SROH,10%+_aln_NROH,10%+_aln_FROH_percent,25%+_SROH,25%+_NROH,25%+_FROH_percent,25%+_aln_SROH,25%+_aln_NROH,25%+_aln_FROH_percent,50%+_SROH,50%+_NROH,50%+_FROH_percent,50%+_aln_SROH,50%+_aln_NROH,50%+_aln_FROH_percent,heterozygosity,het_wo_ROH,genome_align_size,genome_align_proportion,num_auto_chromosomes,IDRisk_1Mb,IDRisk_10Mb,IDRisk_longplus,IDRisk_over_tenthplus,Genome_size,countries,habitats,criteria,synonyms,Length,Weight,Saltwater,Aqu,Fos,Ter,Arb,Aer,proportion_aln_froh_100_500kb,proportion_aln_froh_1mbplus,proportion_aln_froh_10mbplus,proportion_aln_froh_longplus,proportion_aln_froh_shortmed,proportion_aln_froh_over_tenth_plus,froh_min,froh_max,disparate_species_>25
Passer,domesticus,birds,Passer_domesticus,Birds,Birds,GCF_036417665.1,,LC,no,PasDom,../groups/birds/Passer_domesticus/heterozygosity/PasDom_FROH.csv,../groups/birds/Passer_domesticus/heterozygosity/PasDom_whole_genome_mean_heterozygosity.txt,../groups/birds/Passer_domesticus/heterozygosity/MSMC/Primary_Results/PasDom.msmc2.final.txt,../groups/birds/Passer_domesticus/heterozygosity/PasDom_Chroms_Lengths.txt,../groups/birds/Passer_domesticus/heterozygosity/PasDom_Genome_Align.txt,../groups/birds/Passer_domesticus/heterozygosity/PasDom_alnROH_bins.txt,../groups/birds/Passer_domesticus/heterozygosity/ROH/PasDom_Auto_ROH_FROH_percent.csv,config_files/birds/PasDom_config.yml,Terrestrial,92565799.0,166.0,7.30685196427546,91857069.0,166.0,9.49924881460721,68496112.0,54.0,5.40686685492157,68054225.0,54.0,7.03771656550747,44943438.0,22.0,3.5476931196974,44829615.0,22.0,4.63598144142883,0.0,0.0,0.0,0.0,0.0,0.0,57073593.0,55.0,4.50520926330802,56891192.0,63.0,5.88330973381691,5492484.0,4.0,0.433559348460348,5313127.0,5.0,0.549448353905213,1247620.0,1.0,0.0984831843526716,1247620.0,1.0,0.129020585297363,0.0,0.0,0.0,0.0,0.0,0.0,6.55504216759376,6.394,966992978.0,0.763313731104927,37,0.303890538367481,0.0,0.385653433901846,0.0360165712876365,1266835560.0,MN; JP; YE; UZ; AE; TM; TR; TJ; SY; SA; QA; PS; OM; LB; KG; KW; KZ; JO; IL; IQ; IR; GE; CY; BH; AZ; AM; AF; ZW; TZ; SZ; SS; SO; SC; RE; NG; MU; MW; LS; GM; ER; CD; KM; CV; VN; TH; LK; SG; NP; MM; MV; LA; ID; CN; IN; KH; IO; BT; SV; CR; BZ; BS; GB; CH; SE; CNY-OO; ES; AW; SI; SK; RS; RO; PT; PL; NO; NL; ME; MK; LU; AI; LT; LI; CZ; HR; BG; BA; BE; AT; AD; AL; GS; SD; SN; RU; DK; EE; FO; FI; FR; DE; GI; GR; HU; IS; IE; LV; GT; HN; MX; BM; BQ; NI; PA; DZ; EG; LY; MA; TN; KY; CA; CU; PM; US; CW; DO; GP; HT; BY; MD; RU-EU; RU-CA; RU-EA; JM; UA; AU; PR; NC; NZ; VU; AR; BO; BR; SX; CL; TC; VG; CO; EC; FK; VI; PY; PE; UY; VE,1_5; 6; 1_4; 5_4; 5_1; 4_5; 14_1; 14_2; 14_3; 14_4; 14_5; 14_6; 15_7; 3_4; 3_5; 3_6; 3_8; 4_4,,,160.0,40.0,,0.0,0.0,1.0,0.0,0.0,0.5119633634293297,0.4880366365706703,0.0,0.6193447343720496,0.3806552656279504,0.05784124246333182,0.0,61.996471446436786,
Mesoplodon,bidens,mammals,Mesoplodon_bidens,Mammals,Mammals,GCA_964165515.1,,LC,likely,MesBid,../groups/mammals/Mesoplodon_bidens/heterozygosity/MesBid_FROH.csv,../groups/mammals/Mesoplodon_bidens/heterozygosity/MesBid_whole_genome_mean_heterozygosity.txt,../groups/mammals/Mesoplodon_bidens/heterozygosity/MSMC/Primary_Results/MesBid.msmc2.final.txt,../groups/mammals/Mesoplodon_bidens/heterozygosity/MesBid_Chroms_Lengths.txt,../groups/mammals/Mesoplodon_bidens/heterozygosity/MesBid_Genome_Align.txt,../groups/mammals/Mesoplodon_bidens/heterozygosity/MesBid_alnROH_bins.txt,../groups/mammals/Mesoplodon_bidens/heterozygosity/ROH/MesBid_Auto_ROH_FROH_percent.csv,config_files/mammals/MesBid_config.yml,Marine,10358231.0,46.0,0.420637232881441,10049960.0,46.0,0.469107678013528,2916060.0,5.0,0.118418232738414,2694879.0,4.0,0.125790394212257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.456,1.454,2142356749.0,0.869989301015047,20,0.0,0.0,0.0,0.0,2462509305.0,GL; GR; DE; FR; PT; US; ES; IT; GI; IS; NL; CA; MA; GB; DK; BE; SE; IE; NO; AZO-OO; CNY-OO; BR; MDR-OO,10_3; 10_1; 10_2,,Physeter bidens,5000.0,1300000.0,,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.122248454604912,
Homo,sapiens,mammals,Homo_sapiens,Mammals,Mammals,GCF_009914755.1,,LC,,HomSap,../groups/mammals/Homo_sapiens/heterozygosity/HomSap_FROH.csv,../groups/mammals/Homo_sapiens/heterozygosity/HomSap_whole_genome_mean_heterozygosity.txt,../groups/mammals/Homo_sapiens/heterozygosity/MSMC/Primary_Results/HomSap.msmc2.final.txt,../groups/mammals/Homo_sapiens/heterozygosity/HomSap_Chroms_Lengths.txt,../groups/mammals/Homo_sapiens/heterozygosity/HomSap_Genome_Align.txt,../groups/mammals/Homo_sapiens/heterozygosity/HomSap_alnROH_bins.txt,../groups/mammals/Homo_sapiens/heterozygosity/ROH/HomSap_Auto_ROH_FROH_percent.csv,config_files/mammals/HomSap_config.yml,,21638336.0,157.0,0.694142561126168,21637804.0,157.0,0.821653696306239,618672.0,1.0,0.0198465615182724,618672.0,1.0,0.0234928708847336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.947041752952043,0.942,2633445708.0,0.844790814015383,22,0.0,0.0,0.0,0.0,3117275501.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.08422778851627592,1.6021609857525738,
Hydrolagus,colliei,sharks,Hydrolagus_colliei,Fishes,Cartilaginous fishes,GCA_035084275.1,,LC,no,HydCol,../groups/sharks/Hydrolagus_colliei/heterozygosity/HydCol_FROH.csv,../groups/sharks/Hydrolagus_colliei/heterozygosity/HydCol_whole_genome_mean_heterozygosity.txt,../groups/sharks/Hydrolagus_colliei/heterozygosity/MSMC/Primary_Results/HydCol.msmc2.final.txt,../groups/sharks/Hydrolagus_colliei/heterozygosity/HydCol_Chroms_Lengths.txt,../groups/sharks/Hydrolagus_colliei/heterozygosity/HydCol_Genome_Align.txt,../groups/sharks/Hydrolagus_colliei/heterozygosity/HydCol_alnROH_bins.txt,../groups/sharks/Hydrolagus_colliei/heterozygosity/ROH/HydCol_Auto_ROH_FROH_percent.csv,config_files/sharks/HydCol_config.yml,Marine,19600647.0,90.0,2.08067985745066,19583591.0,90.0,2.21101617695817,2883850.0,4.0,0.306131150002808,2881564.0,4.0,0.325332806375515,1150640.0,1.0,0.122144614469973,1148354.0,1.0,0.129650852638549,0.0,0.0,0.0,0.0,0.0,0.0,4145435.0,15.0,0.440052979111913,4143922.0,16.0,0.46785487799724,170423.0,1.0,0.018091020329396,170223.0,1.0,0.019218426625145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.093,2.0505,885728074.0,0.940232515156448,40,0.0027135923457248,0.0,0.0097922025964822,0.0004022416692642,942030891.0,CR; CA; NI; US; GT; SV; MX; HN,10_1; 11_1_1; 11_1_2; 9_2; 9_4,,Chimaera media;Chimaera colliei,1000.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.94136141834253,0.05863858165747009,0.0,0.21160174352088934,0.7883982564791107,0.00869212393171404,0.0,18.615515860922415,
Heterodontus,francisci,sharks,Heterodontus_francisci,Fishes,Cartilaginous fishes,GCF_036365525.1,,LC,no,HetFra,../groups/sharks/Heterodontus_francisci/heterozygosity/HetFra_FROH.csv,../groups/sharks/Heterodontus_francisci/heterozygosity/HetFra_whole_genome_mean_heterozygosity.txt,../groups/sharks/Heterodontus_francisci/heterozygosity/MSMC/Primary_Results/HetFra.msmc2.final.txt,../groups/sharks/Heterodontus_francisci/heterozygosity/HetFra_Chroms_Lengths.txt,../groups/sharks/Heterodontus_francisci/heterozygosity/HetFra_Genome_Align.txt,../groups/sharks/Heterodontus_francisci/heterozygosity/HetFra_alnROH_bins.txt,../groups/sharks/Heterodontus_francisci/heterozygosity/ROH/HetFra_Auto_ROH_FROH_percent.csv,config_files/sharks/HetFra_config.yml,,49920889.0,216.0,1.09811384898787,47407441.0,216.0,1.31490048989482,16124803.0,19.0,0.354698600950418,14288124.0,17.0,0.396297729870676,6592563.0,4.0,0.145017143637506,4871300.0,3.0,0.135111168654403,0.0,0.0,0.0,0.0,0.0,0.0,7551334.0,8.0,0.166107307178223,7387696.0,13.0,0.204906337163274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.253,2.246,3605401425.0,0.793083079100033,50,0.0030440546297837,0.0,0.0046165397762885,0.0,4546057683.0,EC; MX; CAL-OO; PE; US; CO,9_7; 9_4; 9_2,,Heterodontus californicus,1220.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.8972460884357791,0.10275391156422085,0.0,0.15583410207692952,0.8441658979230705,0.0,0.0,7.138858349137581,
Hemiscyllium,ocellatum,sharks,Hemiscyllium_ocellatum,Fishes,Cartilaginous fishes,GCF_020745735.1,,LC,likely,HemOce,../groups/sharks/Hemiscyllium_ocellatum/heterozygosity/HemOce_FROH.csv,../groups/sharks/Hemiscyllium_ocellatum/heterozygosity/HemOce_whole_genome_mean_heterozygosity.txt,../groups/sharks/Hemiscyllium_ocellatum/heterozygosity/MSMC/Primary_Results/HemOce.msmc2.final.txt,../groups/sharks/Hemiscyllium_ocellatum/heterozygosity/HemOce_Chroms_Lengths.txt,../groups/sharks/Hemiscyllium_ocellatum/heterozygosity/HemOce_Genome_Align.txt,../groups/sharks/Hemiscyllium_ocellatum/heterozygosity/HemOce_alnROH_bins.txt,../groups/sharks/Hemiscyllium_ocellatum/heterozygosity/ROH/HemOce_Auto_ROH_FROH_percent.csv,config_files/sharks/HemOce_config.yml,,117348257.0,697.0,3.29585687774033,116316639.0,697.0,3.7695970964262,5825480.0,9.0,0.163615112955097,5815239.0,9.0,0.188460638459682,1057649.0,1.0,0.0297052535759878,1057649.0,1.0,0.0342763566220141,0.0,0.0,0.0,0.0,0.0,0.0,3290560.0,10.0,0.0924190532085808,3253703.0,16.0,0.105446215493152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.615,1.573,3085651756.0,0.866639762900281,52,0.0005535631594455,0.0,0.0017029563802144,0.0,3560477938.0,AU; WAU-WA; NSW-NS; QLD-QU; NTA-OO; PG; NWG-PN; ID; NWG-IJ,9_8; 9_4,,,1070.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.9909071564559221,0.009092843544077987,0.0,0.027972807914437653,0.9720271920855623,0.0,0.0,14.909796582054577,
Polymixia,hollisterae,fishes,Polymixia_hollisterae,,,,,,,PolHol,../groups/fishes/Polymixia_hollisterae/heterozygosity/PolHol_FROH.csv,../groups/fishes/Polymixia_hollisterae/heterozygosity/PolHol_whole_genome_mean_heterozygosity.txt,../groups/fishes/Polymixia_hollisterae/heterozygosity/MSMC/Primary_Results/PolHol.msmc2.final.txt,../groups/fishes/Polymixia_hollisterae/heterozygosity/PolHol_Chroms_Lengths.txt,../groups/fishes/Polymixia_hollisterae/heterozygosity/PolHol_Genome_Align.txt,../groups/fishes/Polymixia_hollisterae/heterozygosity/PolHol_alnROH_bins.txt,../groups/fishes/Polymixia_hollisterae/heterozygosity/ROH/PolHol_Auto_ROH_FROH_percent.csv,config_files/fishes/PolHol_config.yml,,1857774.0,7.0,0.283955431817717,1668350.0,7.0,0.33131972455893,1056737.0,1.0,0.161519222011266,867513.0,1.0,0.172280497624174,1056737.0,1.0,0.161519222011266,867513.0,0.0,0.172280497624174,0.0,0.0,0.0,0.0,0.0,0.0,1056737.0,1.0,0.161519222011266,867513.0,2.0,0.172280497624174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64515109693202,2.64,503546839.0,0.76965691256682,23,0.0045570794727057,0.0,0.0045570794727057,0.0,654248446.0,,,,,,,,,,,,,0.4800173824437325,0.5199826175562675,0.0,0.5199826175562675,0.4800173824437325,0.0,0.0,5.923090629642229,
Lycodopsis,pacificus,fishes,Lycodopsis_pacificus,Fishes,Ray-finned fishes,GCA_028022725.1,,DD/NE,no,LycPac,../groups/fishes/Lycodopsis_pacificus/heterozygosity/LycPac_FROH.csv,../groups/fishes/Lycodopsis_pacificus/heterozygosity/LycPac_whole_genome_mean_heterozygosity.txt,../groups/fishes/Lycodopsis_pacificus/heterozygosity/MSMC/Primary_Results/LycPac.msmc2.final.txt,../groups/fishes/Lycodopsis_pacificus/heterozygosity/LycPac_Chroms_Lengths.txt,../groups/fishes/Lycodopsis_pacificus/heterozygosity/LycPac_Genome_Align.txt,../groups/fishes/Lycodopsis_pacificus/heterozygosity/LycPac_alnROH_bins.txt,../groups/fishes/Lycodopsis_pacificus/heterozygosity/ROH/LycPac_Auto_ROH_FROH_percent.csv,config_files/fishes/LycPac_config.yml,,2236797.0,18.0,0.351489155385324,2230596.0,18.0,0.436156802894901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.401,2.4,511420660.0,0.803643852481941,24,0.0,0.0,0.0,0.0,636377244.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.1001963775867596,
Synchiropus,picturatus,fishes,Synchiropus_picturatus,Fishes,Ray-finned fishes,GCA_044231675.1,,LC,yes,SynPic,../groups/fishes/Synchiropus_picturatus/heterozygosity/SynPic_FROH.csv,../groups/fishes/Synchiropus_picturatus/heterozygosity/SynPic_whole_genome_mean_heterozygosity.txt,../groups/fishes/Synchiropus_picturatus/heterozygosity/MSMC/Primary_Results/SynPic.msmc2.final.txt,../groups/fishes/Synchiropus_picturatus/heterozygosity/SynPic_Chroms_Lengths.txt,../groups/fishes/Synchiropus_picturatus/heterozygosity/SynPic_Genome_Align.txt,../groups/fishes/Synchiropus_picturatus/heterozygosity/SynPic_alnROH_bins.txt,../groups/fishes/Synchiropus_picturatus/heterozygosity/ROH/SynPic_Auto_ROH_FROH_percent.csv,config_files/fishes/SynPic_config.yml,,105604.0,2.0,0.0224531170893167,105604.0,2.0,0.0281750813277869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.79,5.79,374813470.0,0.796914011643792,20,0.0,0.0,0.0,0.0,470331133.0,ID; MY; PH; TW,9_3; 9_8,,Callionymus picturatus;Callionymus zaspilus,70.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.391747120786272,
Neosynchiropus,ocellatus,fishes,Neosynchiropus_ocellatus,Fishes,Ray-finned fishes,GCA_044231665.1,,LC,yes,NeoOce,../groups/fishes/Neosynchiropus_ocellatus/heterozygosity/NeoOce_FROH.csv,../groups/fishes/Neosynchiropus_ocellatus/heterozygosity/NeoOce_whole_genome_mean_heterozygosity.txt,../groups/fishes/Neosynchiropus_ocellatus/heterozygosity/MSMC/Primary_Results/NeoOce.msmc2.final.txt,../groups/fishes/Neosynchiropus_ocellatus/heterozygosity/NeoOce_Chroms_Lengths.txt,../groups/fishes/Neosynchiropus_ocellatus/heterozygosity/NeoOce_Genome_Align.txt,../groups/fishes/Neosynchiropus_ocellatus/heterozygosity/NeoOce_alnROH_bins.txt,../groups/fishes/Neosynchiropus_ocellatus/heterozygosity/ROH/NeoOce_Auto_ROH_FROH_percent.csv,config_files/fishes/NeoOce_config.yml,,446712.0,3.0,0.0965277431486629,446712.0,3.0,0.1043338334761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302562.0,1.0,0.0653790966496215,302562.0,1.0,0.0706662308695439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.177,4.177,428156414.0,0.925181601525022,20,0.0,0.0,0.0029517284634208,0.0,462780943.0,,,,,,,,,,,,,1.0,0.0,0.0,0.6773088701445211,0.3226911298554789,0.0,0.0,1.3362071725710138,
