genus,species_only,clade,species,Lineage,Extended_lineage,primary_accession_num,alternate_accession_num,IUCN,Combined_captivity_flag_primary,Combined_captivity_flag_alternate,short_name,FROH_file_name,Het_file_name,MSMC_file_name,Genome_length_file_name,Align_file_name,AlnBin_file_name,ROH_csv_file_name,config_file_name,System,all_SROH,all_NROH,all_FROH_percent,all_aln_SROH,all_aln_NROH,all_aln_FROH_percent,500kb+_SROH,500kb+_NROH,500kb+_FROH_percent,500kb+_aln_SROH,500kb+_aln_NROH,500kb+_aln_FROH_percent,1Mb+_SROH,1Mb+_NROH,1Mb+_FROH_percent,1Mb+_aln_SROH,1Mb+_aln_NROH,1Mb+_aln_FROH_percent,10Mb+_SROH,10Mb+_NROH,10Mb+_FROH_percent,10Mb+_aln_SROH,10Mb+_aln_NROH,10Mb+_aln_FROH_percent,1%+_SROH,1%+_NROH,1%+_FROH_percent,1%+_aln_SROH,1%+_aln_NROH,1%+_aln_FROH_percent,10%+_SROH,10%+_NROH,10%+_FROH_percent,10%+_aln_SROH,10%+_aln_NROH,10%+_aln_FROH_percent,25%+_SROH,25%+_NROH,25%+_FROH_percent,25%+_aln_SROH,25%+_aln_NROH,25%+_aln_FROH_percent,50%+_SROH,50%+_NROH,50%+_FROH_percent,50%+_aln_SROH,50%+_aln_NROH,50%+_aln_FROH_percent,heterozygosity,het_wo_ROH,genome_align_size,genome_align_proportion,num_auto_chromosomes,IDRisk_all,IDRisk_1Mb,IDRisk_10Mb,IDRisk_longplus,IDRisk_over_tenthplus,Genome_size,countries,habitats,criteria,synonyms,Length,Weight,Saltwater,Aqu,Fos,Ter,Arb,Aer,proportion_aln_froh_100_500kb,proportion_aln_froh_1mbplus,proportion_aln_froh_10mbplus,proportion_aln_froh_longplus,proportion_aln_froh_shortmed,proportion_aln_froh_over_tenth_plus,froh_min,froh_max,disparate_species_>25
Abramis,brama,fishes,Abramis_brama,Fishes,Ray-finned fishes,GCA_963993115.1,GCA_963993125.1,LC,no,no,AbrBra,../groups/fishes/Abramis_brama/heterozygosity/AbrBra_FROH.csv,../groups/fishes/Abramis_brama/heterozygosity/AbrBra_whole_genome_mean_heterozygosity.txt,../groups/fishes/Abramis_brama/heterozygosity/MSMC/Primary_Results/AbrBra.msmc2.final.txt,../groups/fishes/Abramis_brama/heterozygosity/AbrBra_Chroms_Lengths.txt,../groups/fishes/Abramis_brama/heterozygosity/AbrBra_Genome_Align.txt,../groups/fishes/Abramis_brama/heterozygosity/AbrBra_alnROH_bins.txt,../groups/fishes/Abramis_brama/heterozygosity/ROH/AbrBra_Auto_ROH_FROH_percent.csv,config_files/fishes/AbrBra_config.yml,Freshwater,2653955.0,18.0,0.241595618022775,2601569.0,18.0,0.47310392934935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,923645.0,3.0,0.167967898919414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.814,1.811,549893763.0,0.5005809198681,25,0.0085821052783972,0.0,0.0,0.0030469376863981,0.0,1098511232.0,GE; EE; NL; CZ; IR; BY; AT; SI; LI; IE; AF; LU; FI; SK; GR; CH; FR; BG; ME; SE; RU; TM; BE; DK; HR; IT; RO; LT; UZ; KZ; AZ; GB; MD; BA; PL; MK; DE; UA; NO; TR; AM; RS; LV; HU; AL; FRA-FR; TCS-AB; TCS-AD; TCS-GR; GRC-OO; ITA-IT; YUG-KO; YUG-SE; MN; TUR-OO; TUE-OO; GRB-OO; IRE-NI; KRY-OO; UKR-UK; RU-EU; RUC-OO; RUE-OO; RUN-OO; RUW-OO; RUS-OO; NCS-IN; NCS-DA; RU-CA; BLT-KA; NCS-KC; NCS-SO; BRY-OO; NCS-ST; NCS-CH; NCS-KR; IRK-OO; NCS-KB; TVA-OO; TCS-AR; TCS-NK; TCS-NA; ES; SPA-SP; CN; CHX-OO,5_1; 5_5; 15_1; 15_2; 15_9; 5_14; 9_10,,Abramis brama;Abramis brama;Cyprinus brama;Abramis brama;Abramis brama;Cyprinus brama;Abramis argyreus;Abramis gehini;Ciprinus latus;Abramis vetula;Abramis vulgaris,820.0,6010.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.35503382766322983,0.6449661723367701,0.0,0.0,2.933145531404904,
Acanthisitta,chloris,birds,Acanthisitta_chloris,Birds,Birds,GCA_016904835.1,GCA_016880875.1,LC,no,no,AcaChl,../groups/birds/Acanthisitta_chloris/heterozygosity/AcaChl_FROH.csv,../groups/birds/Acanthisitta_chloris/heterozygosity/AcaChl_whole_genome_mean_heterozygosity.txt,../groups/birds/Acanthisitta_chloris/heterozygosity/MSMC/Primary_Results/AcaChl.msmc2.final.txt,../groups/birds/Acanthisitta_chloris/heterozygosity/AcaChl_Chroms_Lengths.txt,../groups/birds/Acanthisitta_chloris/heterozygosity/AcaChl_Genome_Align.txt,../groups/birds/Acanthisitta_chloris/heterozygosity/AcaChl_alnROH_bins.txt,../groups/birds/Acanthisitta_chloris/heterozygosity/ROH/AcaChl_Auto_ROH_FROH_percent.csv,config_files/birds/AcaChl_config.yml,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.654,1.654,705958056.0,0.68105653943673,36,0.0,0.0,0.0,0.0,0.0,1036563068.0,NZ,14_3; 1_4; 3_4; 14_5,,,80.0,6.91,,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,0.0,
Acanthopagrus,latus,fishes,Acanthopagrus_latus,Fishes,Ray-finned fishes,GCF_904848185.1,GCA_904848175.1,DD/NE,no,no,AcaLat,../groups/fishes/Acanthopagrus_latus/heterozygosity/AcaLat_FROH.csv,../groups/fishes/Acanthopagrus_latus/heterozygosity/AcaLat_whole_genome_mean_heterozygosity.txt,../groups/fishes/Acanthopagrus_latus/heterozygosity/MSMC/Primary_Results/AcaLat.msmc2.final.txt,../groups/fishes/Acanthopagrus_latus/heterozygosity/AcaLat_Chroms_Lengths.txt,../groups/fishes/Acanthopagrus_latus/heterozygosity/AcaLat_Genome_Align.txt,../groups/fishes/Acanthopagrus_latus/heterozygosity/AcaLat_alnROH_bins.txt,../groups/fishes/Acanthopagrus_latus/heterozygosity/ROH/AcaLat_Auto_ROH_FROH_percent.csv,config_files/fishes/AcaLat_config.yml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,680743226.0,TW; CN; KR; VN; JP; HK,9_8; 15_13; 9_9; 9_8_6; 9_2; 9_10; 9_8_5; 9_8_4; 9_8_3; 9_6; 9_5; 9_4; 15_12,,Mylio latus;Sparus latus,400.0,1500.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,96.32903640957532,102.98884919956626,
Acipenser,ruthenus,fishes,Acipenser_ruthenus,Fishes,Ray-finned fishes,GCF_902713425.1,,CR,no,,AciRut,../groups/fishes/Acipenser_ruthenus/heterozygosity/AciRut_FROH.csv,../groups/fishes/Acipenser_ruthenus/heterozygosity/AciRut_whole_genome_mean_heterozygosity.txt,../groups/fishes/Acipenser_ruthenus/heterozygosity/MSMC/Primary_Results/AciRut.msmc2.final.txt,../groups/fishes/Acipenser_ruthenus/heterozygosity/AciRut_Chroms_Lengths.txt,../groups/fishes/Acipenser_ruthenus/heterozygosity/AciRut_Genome_Align.txt,../groups/fishes/Acipenser_ruthenus/heterozygosity/AciRut_alnROH_bins.txt,../groups/fishes/Acipenser_ruthenus/heterozygosity/ROH/AciRut_Auto_ROH_FROH_percent.csv,config_files/fishes/AciRut_config.yml,,597015.0,4.0,0.0329508805269886,586252.0,4.0,0.0453800201573762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3185,2.316,1291872498.0,0.713019544529038,60,0.0010521357673487,0.0,0.0,0.0,0.0,1811833221.0,AT; RU; DE; KZ; BY; HU; BA; SI; UA; MD; HR; RS; RO; BG; CN; AZ,5_1,A2cde,,1250.0,16000.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4901745218239665,
Acridotheres,tristis,birds,Acridotheres_tristis,Birds,Birds,GCA_027559615.1,GCA_027559525.1,LC,no,no,AcrTri,../groups/birds/Acridotheres_tristis/heterozygosity/AcrTri_FROH.csv,../groups/birds/Acridotheres_tristis/heterozygosity/AcrTri_whole_genome_mean_heterozygosity.txt,../groups/birds/Acridotheres_tristis/heterozygosity/MSMC/Primary_Results/AcrTri.msmc2.final.txt,../groups/birds/Acridotheres_tristis/heterozygosity/AcrTri_Chroms_Lengths.txt,../groups/birds/Acridotheres_tristis/heterozygosity/AcrTri_Genome_Align.txt,../groups/birds/Acridotheres_tristis/heterozygosity/AcrTri_alnROH_bins.txt,../groups/birds/Acridotheres_tristis/heterozygosity/ROH/AcrTri_Auto_ROH_FROH_percent.csv,config_files/birds/AcrTri_config.yml,Terrestrial,1609426.0,10.0,0.148868677515906,1609426.0,10.0,0.18692319811538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.259,4.259,861009236.0,0.796416276935385,37,0.007961059007734,0.0,0.0,0.0,0.0,1081104519.0,HK; UZ; AE; TM; TR; TJ; SA; QA; PK; OM; LA; ID; CN; IN; KH; BN; IO; BT; BD; VU; TO; SB; EG; US; RU; RU-EU; RU-CA; AU; CK; FJ; KI; NC; NZ; WS; MY; MV; MM; NP; SG; LK; TH; VN; KM; MG; MU; RE; SH; SC; ZA; ZW; AF; BH; IR; IQ; KZ; KW; KG; LB,1_7; 4_6; 4_5; 14_5; 14_3; 14_2; 14_1,,Sturnus tristis,255.0,143.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.8530270715095336,
Aegotheles,albertisi,birds,Aegotheles_albertisi,Birds,Birds,GCA_039906565.1,,LC,no,,AegAlb,../groups/birds/Aegotheles_albertisi/heterozygosity/AegAlb_FROH.csv,../groups/birds/Aegotheles_albertisi/heterozygosity/AegAlb_whole_genome_mean_heterozygosity.txt,../groups/birds/Aegotheles_albertisi/heterozygosity/MSMC/Primary_Results/AegAlb.msmc2.final.txt,../groups/birds/Aegotheles_albertisi/heterozygosity/AegAlb_Chroms_Lengths.txt,../groups/birds/Aegotheles_albertisi/heterozygosity/AegAlb_Genome_Align.txt,../groups/birds/Aegotheles_albertisi/heterozygosity/AegAlb_alnROH_bins.txt,../groups/birds/Aegotheles_albertisi/heterozygosity/ROH/AegAlb_Auto_ROH_FROH_percent.csv,config_files/birds/AegAlb_config.yml,,20455535.0,15.0,1.79256398637142,19229764.0,15.0,1.95375763665211,18733043.0,6.0,1.64161818485545,17516678.0,6.0,1.77970688622471,17051469.0,4.0,1.49425811860353,15835104.0,4.0,1.60885777730712,0.0,0.0,0.0,0.0,0.0,0.0,19411428.0,8.0,1.70106656984732,18185657.0,8.0,1.84767562624721,14530320.0,2.0,1.27332422947883,13313955.0,2.0,1.3527072539888,14530320.0,2.0,1.27332422947883,13313955.0,2.0,1.3527072539888,6856219.0,1.0,0.600825706200079,5642219.0,1.0,0.573253444967585,5.592,5.586,984245110.0,0.862515860840683,37,0.109254127041586,0.089967326907014,0.0,0.103322021019744,0.0756433896430534,1141132766.0,ID; PG,2_1; 1_9; 14_6,,,200.0,43.0,,0.0,0.0,0.0,1.0,0.0,0.17653154765705653,0.8234684523429434,0.0,0.9457035978184692,0.054296402181530756,0.6923618511386864,0.0,64.23324203935154,
Agelaius,phoeniceus,birds,Agelaius_phoeniceus,Birds,Birds,GCF_020745825.1,,LC,no likely,,AgePho,../groups/birds/Agelaius_phoeniceus/heterozygosity/AgePho_FROH.csv,../groups/birds/Agelaius_phoeniceus/heterozygosity/AgePho_whole_genome_mean_heterozygosity.txt,../groups/birds/Agelaius_phoeniceus/heterozygosity/MSMC/Primary_Results/AgePho.msmc2.final.txt,../groups/birds/Agelaius_phoeniceus/heterozygosity/AgePho_Chroms_Lengths.txt,../groups/birds/Agelaius_phoeniceus/heterozygosity/AgePho_Genome_Align.txt,../groups/birds/Agelaius_phoeniceus/heterozygosity/AgePho_alnROH_bins.txt,../groups/birds/Agelaius_phoeniceus/heterozygosity/ROH/AgePho_Auto_ROH_FROH_percent.csv,config_files/birds/AgePho_config.yml,Terrestrial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.168,8.168,812115922.0,0.746900128176255,35,0.0,0.0,0.0,0.0,0.0,1087315280.0,GT; BZ; TC; CA; BS; US; HN; TT; CR; MX; NI; SV; PM,5_4; 14_1; 14_2; 5_4,,,240.0,81.0,,0.0,0.0,1.0,0.0,0.0,,,,,,,0.0,0.0,
Alligator,mississippiensis,reptiles,Alligator_mississippiensis,Reptiles,Crocodilians,GCF_030867095.1,,LC,no,,AllMis,../groups/reptiles/Alligator_mississippiensis/heterozygosity/AllMis_FROH.csv,../groups/reptiles/Alligator_mississippiensis/heterozygosity/AllMis_whole_genome_mean_heterozygosity.txt,../groups/reptiles/Alligator_mississippiensis/heterozygosity/MSMC/Primary_Results/AllMis.msmc2.final.txt,../groups/reptiles/Alligator_mississippiensis/heterozygosity/AllMis_Chroms_Lengths.txt,../groups/reptiles/Alligator_mississippiensis/heterozygosity/AllMis_Genome_Align.txt,../groups/reptiles/Alligator_mississippiensis/heterozygosity/AllMis_alnROH_bins.txt,../groups/reptiles/Alligator_mississippiensis/heterozygosity/ROH/AllMis_Auto_ROH_FROH_percent.csv,config_files/reptiles/AllMis_config.yml,Freshwater,542406822.0,1564.0,23.2680826926911,524517410.0,1563.0,25.2738752456585,274347579.0,286.0,11.7689193715775,255864541.0,280.0,12.3288347836189,128102841.0,71.0,5.49533556116789,113491179.0,70.0,5.46857329202609,0.0,0.0,0.0,0.0,0.0,0.0,68544243.0,35.0,2.94040017481918,52712106.0,36.0,2.53993321399937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.265,2075334332.0,0.890273663482,16,0.0707668506878437,0.015312005217673,0.0,0.0071118129991982,0.0,2331119539.0,US,5_1; 5_2; 5_6; 5_8; 5_9; 5_5; 5_7; 12_5; 5_4; 15_1; 15_9; 13_4,,Crocodilus mississipiensis,4269.0,473100.0,,1.0,0.0,0.0,0.0,0.0,0.783627431928332,0.21637256807166805,0.0,0.10049638962413077,0.8995036103758692,0.0,0.0,46.83510497638722,
Alosa,sapidissima,fishes,Alosa_sapidissima,Fishes,Ray-finned fishes,GCF_018492685.1,GCA_018492705.1,LC,no,no,AloSap,../groups/fishes/Alosa_sapidissima/heterozygosity/AloSap_FROH.csv,../groups/fishes/Alosa_sapidissima/heterozygosity/AloSap_whole_genome_mean_heterozygosity.txt,../groups/fishes/Alosa_sapidissima/heterozygosity/MSMC/Primary_Results/AloSap.msmc2.final.txt,../groups/fishes/Alosa_sapidissima/heterozygosity/AloSap_Chroms_Lengths.txt,../groups/fishes/Alosa_sapidissima/heterozygosity/AloSap_Genome_Align.txt,../groups/fishes/Alosa_sapidissima/heterozygosity/AloSap_alnROH_bins.txt,../groups/fishes/Alosa_sapidissima/heterozygosity/ROH/AloSap_Auto_ROH_FROH_percent.csv,config_files/fishes/AloSap_config.yml,"Freshwater, Marine",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.332,2.332,570633366.0,0.635463670209042,24,0.0,0.0,0.0,0.0,0.0,897979527.0,US; MX; CA,9_1; 10_1; 5_1; 9_10,,Clupea sapidissima,760.0,5500.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,
Amazona,ochrocephala,birds,Amazona_ochrocephala,Birds,Birds,GCA_039720435.1,,LC,no,,AmaOch,../groups/birds/Amazona_ochrocephala/heterozygosity/AmaOch_FROH.csv,../groups/birds/Amazona_ochrocephala/heterozygosity/AmaOch_whole_genome_mean_heterozygosity.txt,../groups/birds/Amazona_ochrocephala/heterozygosity/MSMC/Primary_Results/AmaOch.msmc2.final.txt,../groups/birds/Amazona_ochrocephala/heterozygosity/AmaOch_Chroms_Lengths.txt,../groups/birds/Amazona_ochrocephala/heterozygosity/AmaOch_Genome_Align.txt,../groups/birds/Amazona_ochrocephala/heterozygosity/AmaOch_alnROH_bins.txt,../groups/birds/Amazona_ochrocephala/heterozygosity/ROH/AmaOch_Auto_ROH_FROH_percent.csv,config_files/birds/AmaOch_config.yml,,8855303.0,43.0,0.725854953368493,8784854.0,43.0,0.850915531702205,2331719.0,3.0,0.191127258549304,2331719.0,3.0,0.225854170446673,1090288.0,1.0,0.0893691548892486,1090288.0,1.0,0.105607104367191,0.0,0.0,0.0,0.0,0.0,0.0,122548.0,1.0,0.0100450625828842,122548.0,1.0,0.0118702025758245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.385,3.373,1032400241.0,0.846241883297134,32,0.0288034907481197,0.0035748004828294,0.0,0.0004018063571916,0.0,1219982444.0,GF; PA; EC; BO; TT; SR; CR; PE; BR; VE; CO; GY,1_8; 1_6; 14_6; 1_5,,,350.0,561.0,,0.0,0.0,1.0,1.0,0.0,0.8758900261745953,0.1241099738254047,0.0,0.013949918803431499,0.9860500811965685,0.0,0.0,2.4221001917947276,
