genus,species_only,clade,species,Lineage,Extended_lineage,primary_accession_num,alternate_accession_num,IUCN,Combined_captivity_flag_primary,Combined_captivity_flag_alternate,short_name,System,all_SROH,all_NROH,all_FROH_percent,all_aln_SROH,all_aln_NROH,all_aln_FROH_percent,500kb+_SROH,500kb+_NROH,500kb+_FROH_percent,500kb+_aln_SROH,500kb+_aln_NROH,500kb+_aln_FROH_percent,1Mb+_SROH,1Mb+_NROH,1Mb+_FROH_percent,1Mb+_aln_SROH,1Mb+_aln_NROH,1Mb+_aln_FROH_percent,10Mb+_SROH,10Mb+_NROH,10Mb+_FROH_percent,10Mb+_aln_SROH,10Mb+_aln_NROH,10Mb+_aln_FROH_percent,1%+_SROH,1%+_NROH,1%+_FROH_percent,1%+_aln_SROH,1%+_aln_NROH,1%+_aln_FROH_percent,10%+_SROH,10%+_NROH,10%+_FROH_percent,10%+_aln_SROH,10%+_aln_NROH,10%+_aln_FROH_percent,25%+_SROH,25%+_NROH,25%+_FROH_percent,25%+_aln_SROH,25%+_aln_NROH,25%+_aln_FROH_percent,50%+_SROH,50%+_NROH,50%+_FROH_percent,50%+_aln_SROH,50%+_aln_NROH,50%+_aln_FROH_percent,heterozygosity,het_w_ROH,genome_align_size,genome_align_proportion,num_auto_chromosomes,IDRisk_all,IDRisk_1Mb,IDRisk_10Mb,IDRisk_longplus,IDRisk_over_tenthplus,Genome_size,countries,habitats,criteria,synonyms,Length,Weight,Saltwater,Aqu,Fos,Ter,Arb,Aer,proportion_aln_froh_100_500kb,proportion_aln_froh_1mbplus,proportion_aln_froh_10mbplus,proportion_aln_froh_longplus,proportion_aln_froh_shortmed,proportion_aln_froh_over_tenth_plus,froh_min,froh_max,disparate_species_>25
Abramis,brama,fishes,Abramis_brama,Fishes,Ray-finned fishes,GCA_963993115.1,GCA_963993125.1,LC,no,no,AbrBra,Freshwater,2653955,18,0.241595618,2601569,18,0.473103929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,923645,3,0.167967899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.814,1.811,549893763,0.50058092,25,0.008582105,0,0,0.003046938,0,1098511232,GE; EE; NL; CZ; IR; BY; AT; SI; LI; IE; AF; LU; FI; SK; GR; CH; FR; BG; ME; SE; RU; TM; BE; DK; HR; IT; RO; LT; UZ; KZ; AZ; GB; MD; BA; PL; MK; DE; UA; NO; TR; AM; RS; LV; HU; AL; FRA-FR; TCS-AB; TCS-AD; TCS-GR; GRC-OO; ITA-IT; YUG-KO; YUG-SE; MN; TUR-OO; TUE-OO; GRB-OO; IRE-NI; KRY-OO; UKR-UK; RU-EU; RUC-OO; RUE-OO; RUN-OO; RUW-OO; RUS-OO; NCS-IN; NCS-DA; RU-CA; BLT-KA; NCS-KC; NCS-SO; BRY-OO; NCS-ST; NCS-CH; NCS-KR; IRK-OO; NCS-KB; TVA-OO; TCS-AR; TCS-NK; TCS-NA; ES; SPA-SP; CN; CHX-OO,5_1; 5_5; 15_1; 15_2; 15_9; 5_14; 9_10,,Abramis brama;Abramis brama;Cyprinus brama;Abramis brama;Abramis brama;Cyprinus brama;Abramis argyreus;Abramis gehini;Ciprinus latus;Abramis vetula;Abramis vulgaris,820,6010,0,1,0,0,0,0,1,0,0,0.355033828,0.644966172,0,0,2.933145531,
Acanthisitta,chloris,birds,Acanthisitta_chloris,Birds,Birds,GCA_016904835.1,GCA_016880875.1,LC,no,no,AcaChl,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.654,1.654,705958056,0.681056539,36,0,0,0,0,0,1036563068,NZ,14_3; 1_4; 3_4; 14_5,,,80,6.91,,0,0,1,0,0,,,,,,,0,0,
Acipenser,ruthenus,fishes,Acipenser_ruthenus,Fishes,Ray-finned fishes,GCF_902713425.1,,EN,no,,AciRut,,597015,4,0.032950881,586252,4,0.04538002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3185,2.316,1291872498,0.713019545,60,0.001052136,0,0,0,0,1811833221,AT; RU; DE; KZ; BY; HU; BA; SI; UA; MD; HR; RS; RO; BG; CN; AZ,5_1,A2cde,,1250,16000,0,1,0,0,0,0,1,0,0,0,1,0,0,0.490174522,
Acridotheres,tristis,birds,Acridotheres_tristis,Birds,Birds,GCA_027559615.1,GCA_027559525.1,LC,no,no,AcrTri,Terrestrial,1609426,10,0.148868678,1609426,10,0.186923198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.259,4.259,861009236,0.796416277,37,0.007961059,0,0,0,0,1081104519,HK; UZ; AE; TM; TR; TJ; SA; QA; PK; OM; LA; ID; CN; IN; KH; BN; IO; BT; BD; VU; TO; SB; EG; US; RU; RU-EU; RU-CA; AU; CK; FJ; KI; NC; NZ; WS; MY; MV; MM; NP; SG; LK; TH; VN; KM; MG; MU; RE; SH; SC; ZA; ZW; AF; BH; IR; IQ; KZ; KW; KG; LB,1_7; 4_6; 4_5; 14_5; 14_3; 14_2; 14_1,,Sturnus tristis,255,143,,0,0,1,0,0,1,0,0,0,1,0,0,1.853027072,
Aegotheles,albertisi,birds,Aegotheles_albertisi,Birds,Birds,GCA_039906565.1,,LC,no,,AegAlb,,20455535,15,1.792563986,19229764,15,1.953757637,18733043,6,1.641618185,17516678,6,1.779706886,17051469,4,1.494258119,15835104,4,1.608857777,0,0,0,0,0,0,19411428,8,1.70106657,18185657,8,1.847675626,14530320,2,1.273324229,13313955,2,1.352707254,14530320,2,1.273324229,13313955,2,1.352707254,6856219,1,0.600825706,5642219,1,0.573253445,5.592,5.586,984245110,0.862515861,37,0.109254127,0.089967327,0,0.103322021,0.07564339,1141132766,ID; PG,2_1; 1_9; 14_6,,,200,43,,0,0,0,1,0,0.176531548,0.823468452,0,0.945703598,0.054296402,0.692361851,0,64.23324204,
Agelaius,phoeniceus,birds,Agelaius_phoeniceus,Birds,Birds,GCF_020745825.1,,LC,no likely,,AgePho,Terrestrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.168,8.168,812115922,0.746900128,35,0,0,0,0,0,1087315280,GT; BZ; TC; CA; BS; US; HN; TT; CR; MX; NI; SV; PM,5_4; 14_1; 14_2; 5_4,,,240,81,,0,0,1,0,0,,,,,,,0,0,
Alligator,mississippiensis,reptiles,Alligator_mississippiensis,Reptiles,Crocodilians,GCF_030867095.1,,LC,no,,AllMis,Freshwater,542406822,1564,23.26808269,524517410,1563,25.27387525,274347579,286,11.76891937,255864541,280,12.32883478,128102841,71,5.495335561,113491179,70,5.468573292,0,0,0,0,0,0,68544243,35,2.940400175,52712106,36,2.539933214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.265,2075334332,0.890273663,16,0.070766851,0.015312005,0,0.007111813,0,2331119539,US,5_1; 5_2; 5_6; 5_8; 5_9; 5_5; 5_7; 12_5; 5_4; 15_1; 15_9; 13_4,,Crocodilus mississipiensis,4269,473100,,1,0,0,0,0,0.783627432,0.216372568,0,0.10049639,0.89950361,0,0,46.83510498,
Alosa,sapidissima,fishes,Alosa_sapidissima,Fishes,Ray-finned fishes,GCF_018492685.1,GCA_018492705.1,LC,no,no,AloSap,"Freshwater, Marine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.332,2.332,570633366,0.63546367,24,0,0,0,0,0,897979527,US; MX; CA,9_1; 10_1; 5_1; 9_10,,Clupea sapidissima,760,5500,1,1,0,0,0,0,,,,,,,0,0,
Amazona,ochrocephala,birds,Amazona_ochrocephala,Birds,Birds,GCA_039720435.1,,LC,no,,AmaOch,,8855303,43,0.725854953,8784854,43,0.850915532,2331719,3,0.191127259,2331719,3,0.22585417,1090288,1,0.089369155,1090288,1,0.105607104,0,0,0,0,0,0,122548,1,0.010045063,122548,1,0.011870203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.385,3.373,1032400241,0.846241883,32,0.028803491,0.0035748,0,0.000401806,0,1219982444,GF; PA; EC; BO; TT; SR; CR; PE; BR; VE; CO; GY,1_8; 1_6; 14_6; 1_5,,,350,561,,0,0,1,1,0,0.875890026,0.124109974,0,0.013949919,0.986050081,0,0,2.422100192,
Amblyopsis,spelaea,fishes,Amblyopsis_spelaea,Fishes,Ray-finned fishes,GCA_046255685.1,,NT,no,,AmbSpe,,18601155,108,2.464793368,18464567,108,3.382842583,2701899,4,0.358022001,2687454,4,0.492361063,1037754,1,0.137510234,1023309,1,0.18747763,0,0,0,0,0,0,5214996,10,0.691026313,6064503,13,1.111060931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7475,2.7025,545829921,0.723265824,23,0.0929436,0.005150948,0,0.030526399,0,754674012,US,5_18,,,110,,0,1,0,0,0,0,0.944579854,0.055420146,0,0.328440033,0.671559967,0,0,14.79979305,
